task,variant,signal,scene_normalised,n_frames,n_scenes,eta_10,eta_10_lo,eta_10_hi,eta_20,eta_20_lo,eta_20_hi,eta_30,eta_30_lo,eta_30_hi,eta_50,eta_50_lo,eta_50_hi,spearman_vs_dJ,kendall_vs_dJ,inversion_rate_vs_dJ,top10_overlap_vs_dJ,top20_overlap_vs_dJ
lateral,oracle,perception_oracle_dE,False,595,15,,,,,,,,,,,,,,,,0.06666666666666667,0.31092436974789917
lateral,oracle,best_dE_metric (E1_fn_only),False,595,15,,,,,,,,,,,,,,,,0.06666666666666667,0.31092436974789917
lateral,oracle,PKL_gain,False,595,15,,,,,,,,,,,,,,,,0.0,0.15966386554621848
lateral,oracle,TIP_gain,False,595,15,,,,,,,,,,,,,,,,0.1,0.21008403361344538
lateral,oracle,decision_oracle_dJ,False,595,15,,,,,,,,,,,,,,,,1.0,1.0
lateral,oracle,uncertainty [scene-z],True,595,15,,,,,,,,,,,,,,,,0.06666666666666667,0.20168067226890757
lateral,oracle,criticality [scene-z],True,595,15,,,,,,,,,,,,,,,,0.03333333333333333,0.15966386554621848
lateral,oracle,perception_oracle_dE [scene-z],True,595,15,,,,,,,,,,,,,,,,0.11666666666666667,0.16806722689075632
lateral,oracle,best_dE_metric (E1_fn_only) [scene-z],True,595,15,,,,,,,,,,,,,,,,0.11666666666666667,0.16806722689075632
lateral,oracle,PKL_gain [scene-z],True,595,15,,,,,,,,,,,,,,,,0.016666666666666666,0.16806722689075632
lateral,oracle,TIP_gain [scene-z],True,595,15,,,,,,,,,,,,,,,,0.08333333333333333,0.18487394957983194
