task,variant,signal,quota,eta,eta_lo,eta_hi,reduction_frac
lateral,oracle,uncertainty,0.5,0.2699185044737712,-0.9219608752315174,0.722817748582347,0.023723231824027264
lateral,oracle,criticality,0.1,-0.15382712052936548,-1.352011577153171,0.3476382100778075,-0.013519919459598712
lateral,oracle,criticality,0.2,-0.05392525542842579,-1.2021683931385894,0.4449961983259934,-0.0047395095723151565
lateral,oracle,criticality,0.3,-0.06867878179559969,-1.2397458251790623,0.4662299242501673,-0.006036202168151526
lateral,oracle,criticality,0.5,0.005088850040273962,-1.1677102277298865,0.5083013285635736,0.00044726081103068944
lateral,oracle,perception_oracle_dE,0.1,0.0804438352863263,-0.0008141729677476478,0.2936747884645149,0.007070236836973982
lateral,oracle,perception_oracle_dE,0.2,0.10957039837469566,-0.010998917101122755,0.3857604884874434,0.009630180660498264
lateral,oracle,perception_oracle_dE,0.3,0.1747522701143365,-0.2563357936302907,0.3879862629598839,0.015359038179986233
lateral,oracle,perception_oracle_dE,0.5,0.17023200295069327,-0.9313301689356566,0.6433381576084178,0.014961750316974725
lateral,oracle,best_dE_metric (E5_loc_heavy),0.1,0.14638669215858177,-0.20813073690010744,0.44338948262244676,0.012865977606096321
lateral,oracle,best_dE_metric (E5_loc_heavy),0.2,0.30867548219750507,-0.15761990521654093,0.6034898296918925,0.027129596160297306
lateral,oracle,best_dE_metric (E5_loc_heavy),0.3,0.3811290232570501,-0.0010271383195077878,0.7213458298965769,0.03349756324124373
lateral,oracle,best_dE_metric (E5_loc_heavy),0.5,0.3233948076077844,-0.2337696616058558,0.686524175169374,0.02842328282206259
lateral,oracle,multimetric_dE_oracle,0.1,0.07117878033082031,-0.7578477290525725,0.567193957053741,0.006255927914359232
lateral,oracle,multimetric_dE_oracle,0.2,-0.054226193790164044,-0.9361896156109603,0.4481291223977731,-0.004765959150250459
lateral,oracle,multimetric_dE_oracle,0.3,-0.1279938256260377,-1.0949836773510544,0.3602253668350297,-0.011249422129432675
lateral,oracle,multimetric_dE_oracle,0.5,-0.12061706244245074,-1.1127425961386945,0.37239126584048565,-0.010601075831514489
lateral,oracle,PKL_gain,0.1,0.017075080883963548,-0.90398823669731,0.5064945711582812,0.001500734834812506
lateral,oracle,PKL_gain,0.2,0.04780814771699083,-0.831365439765742,0.5156889543641127,0.004201874834697462
lateral,oracle,PKL_gain,0.3,-0.016989550466845953,-0.9321965932812962,0.49020095908791733,-0.0014932175365181847
lateral,oracle,PKL_gain,0.5,-0.01330116887505353,-0.9295978869881254,0.4958339159236795,-0.0011690443875591846
lateral,oracle,TIP_gain,0.1,-0.04193902458473621,-0.8941233428177111,0.4632601908728704,-0.0036860355485333397
lateral,oracle,TIP_gain,0.2,0.017075080883963548,-0.9260433913245151,0.49592742127089356,0.001500734834812506
lateral,oracle,TIP_gain,0.3,-0.07759682640399562,-1.0365254304838736,0.43248339098594585,-0.006820012229912414
lateral,oracle,TIP_gain,0.5,-0.014223264273003208,-0.9564927181887917,0.4958339159236795,-0.0012500876747990727
lateral,oracle,decision_oracle_dJ,0.1,1.0,1.0,1.0,0.08789034997907127
lateral,oracle,decision_oracle_dJ,0.2,1.0,1.0,1.0,0.08789034997907127
lateral,oracle,decision_oracle_dJ,0.3,1.0,1.0,1.0,0.08789034997907127
lateral,oracle,decision_oracle_dJ,0.5,1.0,1.0,1.0,0.08789034997907127
lateral,oracle,uncertainty [scene-z],0.1,0.11311780491555652,-0.2930550444057112,0.32928676819668895,0.009941963462892571
lateral,oracle,uncertainty [scene-z],0.2,0.03267575140045677,-1.095051634857692,0.511797523215316,0.0028718832264152737
lateral,oracle,uncertainty [scene-z],0.3,0.37823504951589865,-0.7468771841342611,0.7741878528178012,0.033243210876303685
lateral,oracle,uncertainty [scene-z],0.5,0.35069574312345925,-0.7323359617282298,0.7626266133849815,0.030822771599291313
lateral,oracle,criticality [scene-z],0.1,-0.24350797423240803,-1.2300098865351634,0.1464496062789731,-0.02140200107798101
lateral,oracle,criticality [scene-z],0.2,-0.059359985386695784,-1.176596627124145,0.4234154756832655,-0.005217169890389249
lateral,oracle,criticality [scene-z],0.3,0.07073798644932548,-1.0932331669569202,0.5643783770282675,0.006217186385846018
lateral,oracle,criticality [scene-z],0.5,0.005088850040273962,-1.2397458251790623,0.4865070665774492,0.00044726081103068944
lateral,oracle,perception_oracle_dE [scene-z],0.1,0.1269981445894343,-0.011641501141360231,0.4364993135733623,0.011161911374658075
lateral,oracle,perception_oracle_dE [scene-z],0.2,-0.03730713842144683,-0.7111559993564139,0.4037937549309451,-0.003278937452578619
lateral,oracle,perception_oracle_dE [scene-z],0.3,0.05195575202483798,-0.9545934795791429,0.5040887647321495,0.004566409228888851
lateral,oracle,perception_oracle_dE [scene-z],0.5,0.17484247994043536,-0.9600283703199701,0.6206852408355238,0.015366966753173613
lateral,oracle,best_dE_metric (E5_loc_heavy) [scene-z],0.1,0.22753108717804238,0.0,0.4215519392962898,0.01999778688319672
lateral,oracle,best_dE_metric (E5_loc_heavy) [scene-z],0.2,0.29207776503443184,-0.14696906142475083,0.5165111133514024,0.02567081698998116
lateral,oracle,best_dE_metric (E5_loc_heavy) [scene-z],0.3,0.36637549688987203,-0.015303182620466035,0.7067462966117761,0.03220087064540699
