axis,value,crit_model,iou_thr,op_conf,error,fp_lambda,class_aware,frac_value_gt0,gain_top20,risk_reduction_rel,rho_B_uncertainty,rhoseq_B_uncertainty,rho_C_complexity,rhoseq_C_complexity,rho_D_criticality,rhoseq_D_criticality,rho_E_unc_crit,rhoseq_E_unc_crit,rho_F_all_visual,rhoseq_F_all_visual,rho_G_all,rhoseq_G_all,delta_B_uncertainty_to_E_unc_crit,p_B_uncertainty_to_E_unc_crit,nbetter_B_uncertainty_to_E_unc_crit,n_B_uncertainty_to_E_unc_crit,delta_F_all_visual_to_G_all,p_F_all_visual_to_G_all,nbetter_F_all_visual_to_G_all,n_F_all_visual_to_G_all,eta20_random,eta20_highest_uncertainty,eta20_lowest_confidence,eta20_scene_complexity,eta20_criticality_heuristic,eta20_learned_uncertainty,eta20_learned_unc_crit,eta20_learned_all_visual,eta20_learned_all,eta20_oracle
crit_model,composite_ttcheavy,composite_ttcheavy,0.5,0.25,miss,0.0,0,0.5956543456543456,0.9689581941478799,0.45561805978079345,0.22139922748217913,0.24263050404604725,0.11351362217767257,0.09784447736619742,0.31017350370824803,0.29105446468172447,0.30057565326495517,0.276105410086099,0.20407242243566603,0.20709189756680726,0.2615951233640568,0.25047954941844536,0.04840254918582293,0.10145854949951172,12,21,0.11336844112265632,0.03799009323120117,14,21,0.2100012778647175,0.2560402779226663,0.14172746029804015,0.29596187378645716,0.3646021412341457,0.31836799508247676,0.4470490067970357,0.4393377545645976,0.4743143180159988,1.0
crit_model,composite_proxheavy,composite_proxheavy,0.5,0.25,miss,0.0,0,0.5979020979020979,0.8403776499410595,0.44123554898716316,0.2696682442176203,0.23139838125366907,0.10288078749013944,0.08223629609260635,0.34831677811541667,0.3139048381547079,0.3476317048165044,0.29494979144109884,0.2175325410138114,0.1645177621188983,0.31095937337273394,0.28460579734416774,0.11920527639969952,0.032324790954589844,14,21,0.06088105897019197,0.0027709007263183594,16,21,0.23921161156310716,0.3965354234579352,0.19429336430396021,0.39116141514118963,0.4649465129144624,0.48623424729125736,0.5878510317766512,0.46579319107426775,0.5681970314342663,1.0
iou_thr,0.3,composite,0.3,0.25,miss,0.0,0,0.5921578421578422,0.8191257082225355,0.6863710291554311,0.29169357943979196,0.28532770112291295,0.08567950393877669,0.007809036540577644,0.35333550517027157,0.36250551638202144,0.35156127766692,0.35033552168961823,0.22023715594910914,0.1909112668315688,0.31022966796713347,0.3169533008119185,0.04407029487112518,0.06864166259765625,13,21,0.06672752403485613,0.014507293701171875,17,21,0.24491082501113942,0.3531136814446341,0.19686874789904993,0.3426384357154763,0.3993893369168223,0.5050757920103977,0.586965397546712,0.5059598894343506,0.5767662653169592,1.0
iou_thr,0.5,composite,0.5,0.25,miss,0.0,0,0.5975274725274725,0.854981179513672,0.4472915797237586,0.2634453822231782,0.2537711880988667,0.09935920043757096,0.005759189966134519,0.34817113845416936,0.34051356157023077,0.34477590190364155,0.3270782447889345,0.21001130597901743,0.20720211927322582,0.3091709969774107,0.2928440516587015,0.08547831196779837,0.03799009323120117,15,21,0.07943908505040592,0.005062580108642578,17,21,0.23634790066405456,0.3470367817086472,0.17794973123915042,0.3634236095937921,0.4279423646553516,0.43488079851951594,0.5531974242927282,0.4486506970432737,0.5373761464626838,1.0
iou_thr,0.7,composite,0.7,0.25,miss,0.0,0,0.5669330669330669,0.877972357815213,0.24829379935429047,0.22772159843762746,0.2350827643404292,0.06252090109941631,0.06002206515873668,0.29407020915299864,0.27918805125134133,0.30315092808786287,0.3076285000926688,0.1378420481589248,0.1393603450546554,0.2652039808804687,0.2904685065181891,0.05372912037844024,0.15190792083740234,12,21,0.13801154816946976,0.0018763542175292969,16,21,0.22841272250768568,0.3589820801507367,0.16316527497164957,0.38436594690575177,0.4056827116962935,0.36170222232026317,0.4511452301863501,0.3427967051232296,0.42677654958896033,1.0
op_conf,0.15,composite,0.5,0.15,miss,0.0,0,0.5465784215784216,0.9415086331296308,0.40612615672249586,0.16855669156375042,0.15233490640011543,0.05626703522995024,0.02033154345066419,0.19070828454201272,0.18592877437979127,0.19251637993273107,0.2175810477306822,0.11481849809283104,0.08267710309327905,0.16681256493164323,0.1693902353737546,0.03169287335773885,0.047899723052978516,14,21,0.06443060432187897,0.011927127838134766,16,21,0.21531328829749347,0.32142810101208275,0.19161126102572199,0.3350516421843202,0.3784353499115306,0.32162558122415996,0.38615783287275623,0.31153118817487335,0.3968522843625803,1.0
op_conf,0.25,composite,0.5,0.25,miss,0.0,0,0.5975274725274725,0.854981179513672,0.4472915797237586,0.2634453822231782,0.2537711880988667,0.09935920043757096,0.005759189966134519,0.34817113845416936,0.34051356157023077,0.34477590190364155,0.3270782447889345,0.21001130597901743,0.20720211927322582,0.3091709969774107,0.2928440516587015,0.08547831196779837,0.03799009323120117,15,21,0.07943908505040592,0.005062580108642578,17,21,0.23634790066405456,0.3470367817086472,0.17794973123915042,0.3634236095937921,0.4279423646553516,0.43488079851951594,0.5531974242927282,0.4486506970432737,0.5373761464626838,1.0
op_conf,0.4,composite,0.5,0.4,miss,0.0,0,0.6483516483516484,0.7667621769789836,0.48451760240164826,0.40789216696110175,0.4163573529353346,0.1715950489377749,0.12142861520741222,0.5219200406202027,0.5428899024978298,0.525104534057361,0.5506434017544074,0.37082437653826905,0.3470824801645789,0.4917448586184716,0.49145727536193284,0.12618969345600456,0.0002551078796386719,19,21,0.14450289956568857,4.76837158203125e-07,21,21,0.2620778592838622,0.3545095316507382,0.1518556674766551,0.3392991989604716,0.4347247563935201,0.5477543507984712,0.6919458698590103,0.5345536846551171,0.6777065093519601,1.0
fp_lambda,0.0,composite,0.5,0.25,miss,0.0,0,0.5975274725274725,0.854981179513672,0.4472915797237586,0.2634453822231782,0.2537711880988667,0.09935920043757096,0.005759189966134519,0.34817113845416936,0.34051356157023077,0.34477590190364155,0.3270782447889345,0.21001130597901743,0.20720211927322582,0.3091709969774107,0.2928440516587015,0.08547831196779837,0.03799009323120117,15,21,0.07943908505040592,0.005062580108642578,17,21,0.23634790066405456,0.3470367817086472,0.17794973123915042,0.3634236095937921,0.4279423646553516,0.43488079851951594,0.5531974242927282,0.4486506970432737,0.5373761464626838,1.0
fp_lambda,0.5,composite,0.5,0.25,miss,0.5,0,0.6015234765234765,0.9512867474191805,0.3554876593767073,0.13413397581448486,0.16625422462388936,0.024853554058150196,0.01574564458565314,0.2620097924430244,0.27434578945518645,0.22142939221247973,0.2371434094295228,0.08220128477886168,0.1072509121543135,0.20171743057031818,0.2452295518644758,0.07606862061474123,0.03799009323120117,13,21,0.15888962078903976,0.010785579681396484,15,21,0.21177209559399757,0.2866900538271446,0.1707907455734241,0.3197373061828971,0.36909802512085904,0.2985701839181072,0.41909662630324723,0.29050658859235495,0.41154307542209867,1.0
fp_lambda,1.0,composite,0.5,0.25,miss,1.0,0,0.5862887112887113,1.1154761847171117,0.278946053824868,0.09681114839129584,0.11262793260903793,-0.018545510752080076,-0.02325921325874923,0.19696735907430613,0.25098366170438186,0.17505995221801113,0.22919015331861692,0.03232336269920792,0.0458445695629301,0.1399618065490652,0.19306525273397962,0.11131732006866008,0.017528057098388672,13,21,0.10738884004057686,0.0008001327514648438,17,21,0.17986060241876378,0.21574335552166546,0.15802854260199312,0.2648128031375325,0.2970726113023727,0.22087971757617947,0.3205716642014754,0.20804664144726878,0.31501566194581854,1.0
error,miss,composite,0.5,0.25,miss,0.0,0,0.5975274725274725,0.854981179513672,0.4472915797237586,0.2634453822231782,0.2537711880988667,0.09935920043757096,0.005759189966134519,0.34817113845416936,0.34051356157023077,0.34477590190364155,0.3270782447889345,0.21001130597901743,0.20720211927322582,0.3091709969774107,0.2928440516587015,0.08547831196779837,0.03799009323120117,15,21,0.07943908505040592,0.005062580108642578,17,21,0.23634790066405456,0.3470367817086472,0.17794973123915042,0.3634236095937921,0.4279423646553516,0.43488079851951594,0.5531974242927282,0.4486506970432737,0.5373761464626838,1.0
error,soft_iou,composite,0.5,0.25,soft_iou,0.0,0,0.7777222777222778,0.710890424223122,0.2811562578362253,0.29954319560915305,0.23621546674594807,0.1553607958715609,-0.004351302830220899,0.45424733070276696,0.3874830484326704,0.45905572144035484,0.4065773457646614,0.26467081887320654,0.21757417282952585,0.40048484732997847,0.32672665962909253,0.10842725146985277,0.0008001327514648438,18,21,0.14030417316153515,0.00014638900756835938,18,21,0.2820979368757512,0.4100582069171083,0.21745136915235236,0.4127902034296868,0.47015488577814823,0.5073842647525999,0.6142232032359589,0.4912158798473961,0.6172195168062038,1.0
class_aware,0,composite,0.5,0.25,miss,0.0,0,0.5975274725274725,0.854981179513672,0.4472915797237586,0.2634453822231782,0.2537711880988667,0.09935920043757096,0.005759189966134519,0.34817113845416936,0.34051356157023077,0.34477590190364155,0.3270782447889345,0.21001130597901743,0.20720211927322582,0.3091709969774107,0.2928440516587015,0.08547831196779837,0.03799009323120117,15,21,0.07943908505040592,0.005062580108642578,17,21,0.23634790066405456,0.3470367817086472,0.17794973123915042,0.3634236095937921,0.4279423646553516,0.43488079851951594,0.5531974242927282,0.4486506970432737,0.5373761464626838,1.0
class_aware,1,composite,0.5,0.25,miss,0.0,1,0.5947802197802198,0.8386872814577983,0.4153155365435186,0.2694910934404551,0.23880946180617146,0.11468524991141114,0.06390392275393648,0.34032548118489725,0.351984040151755,0.3413253837607682,0.3177649900628053,0.21814312121105095,0.22963705683559793,0.32128136234467547,0.3169210263543634,0.0697763560841439,0.047899723052978516,14,21,0.10630667509123781,0.005673408508300781,16,21,0.24022791902410384,0.37164263774375955,0.17912960743629094,0.3827089845544347,0.4436740261206148,0.4407135296671772,0.5509964240455235,0.46020793287615636,0.5357430677319373,1.0
