track,geometry,system,target,split,signal,deployable,input_dim,width_mult,gflops,trt_vs_torch_spearman,quota,k,eta,eta_lo,eta_hi,minus_random,minus_random_lo,minus_random_hi,p_le_random,tie_frac,responsive_frac,boot_dropped,n_units,n_frames
nuScenes,oracle,plan_fde,JC_fde,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9996457137574002,0.3,226,0.20731337476107883,-0.06556554779375035,0.4999109679843919,0.12981450203117934,-0.09966782360786501,0.4312954504255344,0.14414414414414414,0.004424778761061947,0.21238938053097345,1,24,752
nuScenes,oracle,plan_fde,JC_fde,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9996457137574002,0.5,376,0.13326532279997938,-0.18892574302753562,0.4778702681234249,0.015682970653456245,-0.17973346155509665,0.26810471417764253,0.4774774774774775,0.005319148936170213,0.18085106382978725,1,24,752
nuScenes,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9996925022942859,0.1,96,0.001675057621715513,-0.20208594913213357,0.16456785598112736,-0.02854982706127753,-0.15764604722863965,0.12412479743550983,0.6843687374749499,0.010416666666666666,0.15625,2,24,955
nuScenes,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9996925022942859,0.2,191,-0.11822404711617461,-0.5434324868827031,0.14937164714460632,-0.1456714499611561,-0.40722956751132766,0.05832983284401513,0.9138276553106213,0.005235602094240838,0.14659685863874344,2,24,955
nuScenes,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9996925022942859,0.3,286,-0.043368582419289675,-0.6530814185452769,0.265129993278818,-0.16836927348642544,-0.4625247594245381,0.13155832743412543,0.8767535070140281,0.0034965034965034965,0.15734265734265734,2,24,955
nuScenes,mono,brake,J,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9996925022942859,0.5,478,0.01629097471041917,-0.7160429972001363,0.3439355126917495,-0.1608703576497081,-0.4564147661834964,0.09533727850957256,0.8867735470941884,0.0020920502092050207,0.14225941422594143,2,24,955
nuScenes,mono,plan_ade,JC_ade,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9997608652285783,0.1,75,0.0927394527817575,0.0033548905088861725,0.1983890864217491,0.05136085607886825,-0.018972919394997515,0.14364064947991656,0.07707707707707707,0.013333333333333334,0.49333333333333335,1,24,752
nuScenes,mono,plan_ade,JC_ade,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9997608652285783,0.2,150,0.14016691038770915,-0.02415945649826285,0.2286972876699277,0.04897005706124428,-0.04332780265194667,0.15043771996815683,0.12312312312312312,0.006666666666666667,0.5,1,24,752
nuScenes,mono,plan_ade,JC_ade,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9997608652285783,0.3,226,0.1475893709988955,-0.1490801093953776,0.31161685255959015,0.0034659626800152173,-0.161506919447297,0.13272313075094788,0.43843843843843844,0.004424778761061947,0.5221238938053098,1,24,752
nuScenes,mono,plan_ade,JC_ade,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9997608652285783,0.5,376,0.269423430889339,-0.1103451429027214,0.4902999569474255,0.0471245988477586,-0.09590569870567182,0.18425044836220184,0.26226226226226224,0.0026595744680851063,0.5638297872340425,1,24,752
nuScenes,mono,plan_fde,JC_fde,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9997317862856385,0.1,75,0.1108920921605388,-0.05633412865390236,0.2044196685495805,0.05622065704181157,-0.0716062840129798,0.16660624555407416,0.18218218218218218,0.013333333333333334,0.30666666666666664,1,24,752
nuScenes,mono,plan_fde,JC_fde,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9997317862856385,0.2,150,0.12768009033950628,-0.05328953475614743,0.24122875293211,0.05855515031951376,-0.08394057535373367,0.21172840067832085,0.1881881881881882,0.006666666666666667,0.2866666666666667,1,24,752
nuScenes,mono,plan_fde,JC_fde,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9997317862856385,0.3,226,0.11725234825930969,-0.10096975204507258,0.2307618966310783,0.01010996465510596,-0.13807120340431017,0.18923851292030844,0.48148148148148145,0.004424778761061947,0.2345132743362832,1,24,752
nuScenes,mono,plan_fde,JC_fde,test,R2_cnn_clf,True,49152,1.2,0.151331328,0.9997317862856385,0.5,376,0.010692436274799523,-0.46685732201131036,0.3018565987140414,-0.16310733810207287,-0.38752465624965965,0.03940959310817938,0.9429429429429429,0.005319148936170213,0.2393617021276596,1,24,752
