quota,policy,mode,total_risk,risk_sd,risk_all_cheap,risk_all_full,risk_oracle,risk_reduction,eta,frac_of_full_gain,n_selected,std_err_total,mean_latency_ms,extra_compute_ms,risk_per_extra_ms,risk_per_1000_extra_ms,mean_energy_mj,extra_energy_j,risk_per_extra_joule,total_frames
0.2,unc_x_crit_frame,pooled,1915.3098629888582,0.0,2289.8879460751723,1265.6403492848162,1413.93881024764,374.5780830863141,0.42762538116147614,0.3657104827583824,1602,21431.0,11.3208,9418.158000000001,0.03977190477015931,39.77190477015931,27.368,23.37318,16.02597862534384,8010.0
0.2,oracle,pooled,1413.93881024764,0.0,2289.8879460751723,1265.6403492848162,1413.93881024764,875.9491358275322,1.0,0.8552122929772638,1602,20076.0,11.3208,9418.158000000001,0.09300641758479015,93.00641758479016,27.368,23.37318,37.47667779170537,8010.0
0.3,random,pooled,1983.4831615883036,12.212012459885505,2289.8879460751723,1265.6403492848162,1271.385313001058,306.4047844868687,0.30083848046819167,0.29915108948953084,2402,21034.625,11.9087,14121.358000000004,0.021697968742586133,21.697968742586134,28.826999999999998,35.04518,8.743136274000268,8006.666666666667
0.3,unc_x_crit_obj,pooled,1683.6235593969584,0.0,2289.8879460751723,1265.6403492848162,1271.385313001058,606.2643866782139,0.5952506817271009,0.5919119445122845,2402,20030.0,11.9087,14121.358000000004,0.0429324422394938,42.9324422394938,28.826999999999998,35.04518,17.29950842535875,8006.666666666667
0.3,M3_fail_x_crit,pooled,1639.6396385539358,0.0,2289.8879460751723,1265.6403492848162,1271.385313001058,650.2483075212365,0.6384355684566201,0.6348546089430854,2402,19823.0,11.9087,14121.358000000004,0.046047151238658234,46.04715123865823,28.826999999999998,35.04518,18.55457177053268,8006.666666666667
0.3,M4_gain_x_crit,pooled,1640.3088402441783,0.0,2289.8879460751723,1265.6403492848162,1271.385313001058,649.579105830994,0.6377785238221623,0.6342012496456464,2402,19781.0,11.9087,14121.358000000004,0.04599976190894628,45.99976190894628,28.826999999999998,35.04518,18.53547637167205,8006.666666666667
0.3,M5_fail_x_recover_x_crit,pooled,1638.1311495755006,0.0,2289.8879460751723,1265.6403492848162,1271.385313001058,651.7567964996717,0.6399166534626374,0.6363273866026692,2402,19766.0,11.9087,14121.358000000004,0.046153974461922966,46.153974461922964,28.826999999999998,35.04518,18.59761589181941,8006.666666666667
0.3,recover_only,pooled,1721.2963888817426,0.0,2289.8879460751723,1265.6403492848162,1271.385313001058,568.5915571934297,0.5582622358837382,0.5551309653790768,2402,18865.0,11.9087,14121.358000000004,0.040264651402041475,40.26465140204147,28.826999999999998,35.04518,16.22452951285825,8006.666666666667
0.3,M5_gain_direct_x_crit,pooled,1640.3088402441783,0.0,2289.8879460751723,1265.6403492848162,1271.385313001058,649.579105830994,0.6377785238221623,0.6342012496456464,2402,19781.0,11.9087,14121.358000000004,0.04599976190894628,45.99976190894628,28.826999999999998,35.04518,18.53547637167205,8006.666666666667
0.3,M0_uncertainty,pooled,1778.2111469606298,0.0,2289.8879460751723,1265.6403492848162,1271.385313001058,511.6767991145425,0.5023814200363573,0.49956358278795454,2402,19249.0,11.9087,14121.358000000004,0.03623424879636522,36.23424879636522,28.826999999999998,35.04518,14.600489970790347,8006.666666666667
0.3,M1_criticality,pooled,1672.1547050526324,0.0,2289.8879460751723,1265.6403492848162,1271.385313001058,617.7332410225399,0.6065111870727866,0.6031092901348326,2402,20123.0,11.9087,14121.358000000004,0.04374460593822065,43.74460593822065,28.826999999999998,35.04518,17.62676753329673,8006.666666666667
0.3,M2_monolithic,pooled,1672.8775713453033,0.0,2289.8879460751723,1265.6403492848162,1271.385313001058,617.010374729869,0.6058014527341634,0.602403536667667,2402,20049.0,11.9087,14121.358000000004,0.04369341636476243,43.69341636476243,28.826999999999998,35.04518,17.606140836767537,8006.666666666667
0.3,unc_x_crit_frame,pooled,1795.4471596662206,0.0,2289.8879460751723,1265.6403492848162,1271.385313001058,494.4407864089517,0.48545852544003415,0.48273560802911436,2402,20128.0,11.9087,14121.358000000004,0.03501368539831308,35.01368539831308,28.826999999999998,35.04518,14.1086673376753,8006.666666666667
0.3,oracle,pooled,1271.385313001058,0.0,2289.8879460751723,1265.6403492848162,1271.385313001058,1018.5026330741143,1.0,0.994391040082257,2402,18382.0,11.9087,14121.358000000004,0.07212497785794497,72.12497785794497,28.826999999999998,35.04518,29.06255961801635,8006.666666666667
0.5,random,pooled,1778.4712070096227,13.852878514437975,2289.8879460751723,1265.6403492848162,1184.3367895992437,511.41673906554956,0.46258984586090907,0.49930967928863673,4004,18783.90625,13.0845,23539.516000000007,0.021725881664922484,21.725881664922483,31.744999999999997,58.41836,8.754383708572949,8008.0
0.5,unc_x_crit_obj,pooled,1481.6500011338007,0.0,2289.8879460751723,1265.6403492848162,1184.3367895992437,808.2379449413716,0.7310724069230075,0.7891040676825747,4004,17436.0,13.0845,23539.516000000007,0.0343353680229182,34.3353680229182,31.744999999999997,58.41836,13.835341234183424,8008.0
0.5,M3_fail_x_crit,pooled,1430.9463761009192,0.0,2289.8879460751723,1265.6403492848162,1184.3367895992437,858.9415699742531,0.7769351648206204,0.8386073569182726,4004,17323.0,13.0845,23539.516000000007,0.03648934710357905,36.48934710357906,31.744999999999997,58.41836,14.703281125561434,8008.0
0.5,M4_gain_x_crit,pooled,1428.5089411740596,0.0,2289.8879460751723,1265.6403492848162,1184.3367895992437,861.3790049011127,0.7791398886025838,0.8409870890596979,4004,17318.0,13.0845,23539.516000000007,0.03659289362198919,36.59289362198919,31.744999999999997,58.41836,14.745004907722722,8008.0
0.5,M5_fail_x_recover_x_crit,pooled,1426.932673888471,0.0,2289.8879460751723,1265.6403492848162,1184.3367895992437,862.9552721867012,0.7805656636798883,0.8425260404719619,4004,17301.0,13.0845,23539.516000000007,0.03665985622587571,36.659856225875714,31.744999999999997,58.41836,14.771987303079053,8008.0
0.5,recover_only,pooled,1492.2853209756552,0.0,2289.8879460751723,1265.6403492848162,1184.3367895992437,797.6026250995171,0.7214524813505394,0.7787205238254234,4004,16507.0,13.0845,23539.516000000007,0.03388356094915108,33.883560949151075,31.744999999999997,58.41836,13.653286827968419,8008.0
0.5,M5_gain_direct_x_crit,pooled,1428.5089411740596,0.0,2289.8879460751723,1265.6403492848162,1184.3367895992437,861.3790049011127,0.7791398886025838,0.8409870890596979,4004,17318.0,13.0845,23539.516000000007,0.03659289362198919,36.59289362198919,31.744999999999997,58.41836,14.745004907722722,8008.0
0.5,M0_uncertainty,pooled,1573.730579834175,0.0,2289.8879460751723,1265.6403492848162,1184.3367895992437,716.1573662409974,0.6477831098506842,0.6992033649726797,4004,17026.0,13.0845,23539.516000000007,0.030423623248710684,30.423623248710683,31.744999999999997,58.41836,12.259114535926674,8008.0
0.5,M1_criticality,pooled,1468.5532478205716,0.0,2289.8879460751723,1265.6403492848162,1184.3367895992437,821.3346982546007,0.7429187635900083,0.8018907740944519,4004,17654.0,13.0845,23539.516000000007,0.03489174111543332,34.89174111543332,31.744999999999997,58.41836,14.059530227390852,8008.0
0.5,M2_monolithic,pooled,1484.9215237238263,0.0,2289.8879460751723,1265.6403492848162,1184.3367895992437,804.966422351346,0.728113228986408,0.7859099937103462,4004,17692.0,13.0845,23539.516000000007,0.034196387995035486,34.19638799503549,31.744999999999997,58.41836,13.779339617739113,8008.0
0.5,unc_x_crit_frame,pooled,1567.177326919179,0.0,2289.8879460751723,1265.6403492848162,1184.3367895992437,722.7106191559933,0.6537106988877082,0.7056014789985574,4004,17447.0,13.0845,23539.516000000007,0.03070201694699216,30.70201694699216,31.744999999999997,58.41836,12.371292503863396,8008.0
0.5,oracle,pooled,1184.3367895992437,0.0,2289.8879460751723,1265.6403492848162,1184.3367895992437,1105.5511564759286,1.0,1.0793788142050322,4004,15368.0,13.0845,23539.516000000007,0.04696575564577998,46.965755645779986,31.744999999999997,58.41836,18.924720866452407,8008.0
