spec,t_cheap,t_full,file,seconds
kitti_y8_384_mono,0.25,0.25,kitti_y8_384_mono__c0.250000__f0.250000.npz,157.10672664642334
kitti_y8_384_mono,0.29,0.29,kitti_y8_384_mono__c0.290000__f0.290000.npz,154.84626936912537
kitti_y8_384_mono,0.3,0.3,kitti_y8_384_mono__c0.300000__f0.300000.npz,150.85374546051025
kitti_y8_384_mono,0.35,0.35,kitti_y8_384_mono__c0.350000__f0.350000.npz,152.01045417785645
kitti_y8_384_mono,0.4,0.4,kitti_y8_384_mono__c0.400000__f0.400000.npz,150.853590965271
kitti_y8_384_mono,0.43408203125,0.43408203125,kitti_y8_384_mono__c0.434082__f0.434082.npz,148.36001467704773
kitti_y8_384_mono,0.45,0.45,kitti_y8_384_mono__c0.450000__f0.450000.npz,149.42004442214966
kitti_y8_384_mono,0.5,0.5,kitti_y8_384_mono__c0.500000__f0.500000.npz,148.98822259902954
kitti_y8_384_mono,0.55,0.55,kitti_y8_384_mono__c0.550000__f0.550000.npz,148.29533576965332
kitti_y8_384_mono,0.6,0.6,kitti_y8_384_mono__c0.600000__f0.600000.npz,146.92564272880554
kitti_y8_384_mono,0.65,0.65,kitti_y8_384_mono__c0.650000__f0.650000.npz,145.23570108413696
kitti_y8_384_mono,0.7,0.7,kitti_y8_384_mono__c0.700000__f0.700000.npz,143.45162177085876
kitti_y8_384_mono,0.15,0.45,kitti_y8_384_mono__c0.150000__f0.450000.npz,153.73880743980408
kitti_y8_384_mono,0.45,0.15,kitti_y8_384_mono__c0.450000__f0.150000.npz,153.19949173927307
kitti_y8_512_mono,0.1,0.1,kitti_y8_512_mono__c0.100000__f0.100000.npz,160.51755142211914
kitti_y8_512_mono,0.15,0.15,kitti_y8_512_mono__c0.150000__f0.150000.npz,158.69478487968445
kitti_y8_512_mono,0.2,0.2,kitti_y8_512_mono__c0.200000__f0.200000.npz,157.0412518978119
kitti_y8_512_mono,0.25,0.25,kitti_y8_512_mono__c0.250000__f0.250000.npz,158.92451572418213
kitti_y8_512_mono,0.26,0.26,kitti_y8_512_mono__c0.260000__f0.260000.npz,157.71532106399536
kitti_y8_512_mono,0.3,0.3,kitti_y8_512_mono__c0.300000__f0.300000.npz,157.41267347335815
kitti_y8_512_mono,0.30078125,0.30078125,kitti_y8_512_mono__c0.300781__f0.300781.npz,162.34522604942322
kitti_y8_512_mono,0.35,0.35,kitti_y8_512_mono__c0.350000__f0.350000.npz,159.5435299873352
kitti_y8_512_mono,0.4,0.4,kitti_y8_512_mono__c0.400000__f0.400000.npz,157.84411883354187
kitti_y8_512_mono,0.45,0.45,kitti_y8_512_mono__c0.450000__f0.450000.npz,158.61487102508545
kitti_y8_512_mono,0.5,0.5,kitti_y8_512_mono__c0.500000__f0.500000.npz,156.169367313385
kitti_y8_512_mono,0.55,0.55,kitti_y8_512_mono__c0.550000__f0.550000.npz,154.40941095352173
kitti_y8_512_mono,0.6,0.6,kitti_y8_512_mono__c0.600000__f0.600000.npz,152.85474753379822
kitti_y8_512_mono,0.65,0.65,kitti_y8_512_mono__c0.650000__f0.650000.npz,153.16264986991882
kitti_y8_512_mono,0.7,0.7,kitti_y8_512_mono__c0.700000__f0.700000.npz,150.52058267593384
kitti_rt_480_mono,0.1,0.1,kitti_rt_480_mono__c0.100000__f0.100000.npz,200.80936670303345
kitti_rt_480_mono,0.15,0.15,kitti_rt_480_mono__c0.150000__f0.150000.npz,182.18360805511475
kitti_rt_480_mono,0.2,0.2,kitti_rt_480_mono__c0.200000__f0.200000.npz,170.64616417884827
kitti_rt_480_mono,0.25,0.25,kitti_rt_480_mono__c0.250000__f0.250000.npz,160.79625582695007
kitti_rt_480_mono,0.252685546875,0.252685546875,kitti_rt_480_mono__c0.252686__f0.252686.npz,160.64780378341675
kitti_rt_480_mono,0.3,0.3,kitti_rt_480_mono__c0.300000__f0.300000.npz,158.92636251449585
kitti_rt_480_mono,0.35,0.35,kitti_rt_480_mono__c0.350000__f0.350000.npz,156.13412618637085
kitti_rt_480_mono,0.4,0.4,kitti_rt_480_mono__c0.400000__f0.400000.npz,153.83400869369507
kitti_rt_480_mono,0.45,0.45,kitti_rt_480_mono__c0.450000__f0.450000.npz,155.74626684188843
kitti_rt_480_mono,0.5,0.5,kitti_rt_480_mono__c0.500000__f0.500000.npz,151.77320790290833
kitti_rt_480_mono,0.55,0.55,kitti_rt_480_mono__c0.550000__f0.550000.npz,149.71848154067993
kitti_rt_480_mono,0.6,0.6,kitti_rt_480_mono__c0.600000__f0.600000.npz,153.74076652526855
kitti_rt_480_mono,0.65,0.65,kitti_rt_480_mono__c0.650000__f0.650000.npz,147.47899627685547
kitti_rt_480_mono,0.7,0.7,kitti_rt_480_mono__c0.700000__f0.700000.npz,145.92532587051392
