task,variant,signal,scene_normalised,n_frames,n_scenes,eta_10,reduction_frac_10,eta_10_lo,eta_10_hi,eta_10_boot_dropped,eta_20,reduction_frac_20,eta_20_lo,eta_20_hi,eta_20_boot_dropped,eta_30,reduction_frac_30,eta_30_lo,eta_30_hi,eta_30_boot_dropped,eta_50,reduction_frac_50,eta_50_lo,eta_50_hi,eta_50_boot_dropped,spearman_vs_dJ,kendall_vs_dJ,inversion_rate_vs_dJ,top10_overlap_vs_dJ,top20_overlap_vs_dJ
lateral,mono,best_dE_metric (E5_loc_heavy),False,3376,85,0.03269058437317906,0.0026954351276597876,-0.5238851690497353,0.3557185037587218,0.0025,0.02318629488308758,0.0019117784189697248,-0.7808165330392094,0.43381531125257583,0.0025,0.017725651498798563,0.0014615322615559203,-0.8884685213942376,0.44120573958648185,0.0025,-0.09831820419127066,-0.0081066260009413,-1.1037665048825096,0.384322523782697,0.0025,0.009482596335319596,0.007721401751116975,0.4767831920903955,0.13609467455621302,0.2696296296296296
lateral,mono,multimetric_dE_oracle,False,3376,85,0.039744041257049466,0.0032770134573459507,-0.3060041907307998,0.24191291206867452,0.0025,0.11148218034956033,0.00919203467249266,-0.30198581477706493,0.38751755773196145,0.0025,-0.013571284541904639,-0.0011189924494506274,-0.6269809470290035,0.31007235607608935,0.0025,0.014941583928375203,0.0012319776766200072,-0.6740508870826518,0.3483126668787367,0.0025,0.03150353910620527,0.02559976128181085,0.43926774249522815,0.12721893491124261,0.21037037037037037
lateral,mono,PKL_gain,False,3376,85,0.021170173572138715,0.0017455432687772537,-0.37183373317623136,0.2311528977122513,0.0025,0.049942275801980414,0.0041178879831336715,-0.4771166313557263,0.301888685197565,0.0025,-0.09459494743594915,-0.007799632496847686,-0.8058115205093175,0.22821039373477753,0.0025,-0.1278599606512781,-0.01054243097726363,-1.0811046155708912,0.18707563855619325,0.0025,0.009763487881373632,0.008060032719043982,0.47860749402072816,0.09763313609467456,0.21481481481481482
lateral,mono,TIP_gain,False,3376,85,-0.10931388272047608,-0.009013252135908511,-0.6093632836119902,0.1507431833824629,0.0025,-0.10931388272047608,-0.009013252135908511,-0.6455783713996577,0.1485934500261066,0.0025,-0.183715798846939,-0.015147909626369364,-0.8816084078897463,0.11511097365366924,0.0025,-0.26478387519813007,-0.0218322116943399,-1.223311591359669,0.0984320319240548,0.0025,-0.008789230294029674,-0.007349710641352688,0.5210765528918991,0.10650887573964497,0.18962962962962962
lateral,mono,decision_oracle_dJ,False,3376,85,1.0,0.08245295027124855,1.0,1.0,0.0025,1.0,0.08245295027124855,1.0,1.0,0.0025,1.0,0.08245295027124855,1.0,1.0,0.0025,1.0,0.08245295027124855,1.0,1.0,0.0025,1.0,1.0,0.0,1.0,1.0
lateral,mono,uncertainty [scene-z],True,3376,85,0.07762315453924225,0.006400258101121583,-0.27241945050422084,0.2640600903394746,0.0025,0.02121535542886886,0.0017492686461633871,-0.5595839470292623,0.40964596628399963,0.0025,0.10139994572544496,0.008360724682407415,-0.6943519104738023,0.5163080942967992,0.0025,0.10257683044298707,0.008457762299497908,-0.7990783739041737,0.573117415523175,0.0025,0.03059782441238687,0.024852970035616827,0.4507255408172349,0.09763313609467456,0.20296296296296296
lateral,mono,criticality [scene-z],True,3376,85,-0.17562976350613546,-0.014481192156522531,-0.7324689367980417,0.14160328342528328,0.0025,0.014593785302177068,0.0012033006537896837,-0.7521339369733885,0.3917493105224982,0.0025,-0.030936693805733818,-0.0025508216759210136,-1.2431608680101827,0.39945397930854704,0.0025,-0.3349529655543103,-0.027617860212056776,-1.6647578029844563,0.2186651321382716,0.0025,-0.01386498385038227,-0.011229671150386186,0.5204457704457705,0.1242603550295858,0.2088888888888889
lateral,mono,perception_oracle_dE [scene-z],True,3376,85,-0.14629015935876893,-0.0120620552347816,-0.519170281935013,0.060565329436117095,0.0025,-0.351931417435726,-0.02901778366071793,-1.1928251485581094,0.020109754933958238,0.0025,-0.3376749832005854,-0.027842298597682558,-1.429297070052594,0.06421188872077077,0.0025,-0.524492849358113,-0.04324598282574995,-1.9983218148643929,0.07196655978240142,0.0025,-0.04101853044122848,-0.03335140742375001,0.5759537976898845,0.10355029585798817,0.20148148148148148
lateral,mono,best_dE_metric (E5_loc_heavy) [scene-z],True,3376,85,0.03269058437318176,0.0026954351276600105,-0.5299241021778361,0.3287675959921733,0.0025,0.05645130809841383,0.004654576899385447,-0.6607899050928557,0.4167745444262026,0.0025,0.01505232979326081,0.0012411089999101665,-0.8571650975706209,0.4413522136618151,0.0025,-0.0959697495569541,-0.007912988987763714,-1.1063683456004345,0.3917127441361543,0.0025,0.011353197204278161,0.009211596014991915,0.4896875815855887,0.11834319526627218,0.20148148148148148
lateral,mono,multimetric_dE_oracle [scene-z],True,3376,85,0.08251334396246855,0.006803468646451847,-0.2625974606407916,0.3093041300259655,0.0025,0.07300905447237573,0.006019811937761672,-0.37368569803338914,0.3633122585357661,0.0025,0.033950162908560864,0.002799291094000356,-0.4769720876052417,0.327137716292959,0.0025,0.061430749025258254,0.00506514649450517,-0.6398242873707948,0.39479908987568296,0.0025,0.034877503388907424,0.028336981211214588,0.436687741482262,0.10059171597633136,0.18518518518518517
