scenario,log,type,map,iteration,route_len,route_ids_missing_in_map,d_route_any_m,d_route_first2_m,ego_on_any_road,ego_on_route_block,ego_speed,idm_coll,idm_logdev,pdm_coll,pdm_logdev
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,83,28,0,0.0,0.0,True,True,0.0012990493752792892,0.0,0.5891519642494418,0.0,1.2273640028230357
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,97,28,0,0.0,0.0,True,True,0.0007644075685068724,0.0,0.5889746333230738,0.0,1.2273425085176028
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,110,28,0,0.0,0.0,True,True,0.00025620972167152037,0.0,0.5891952735876749,0.0,1.2273690798428554
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,123,28,0,0.0,0.0,True,True,0.001504155202156062,0.0,0.5888723115945743,0.0,1.2273328219100526
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,137,28,0,0.0,0.0,True,True,0.0006542742255801552,0.0,0.5890846913881254,0.0,1.2273968910316646
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,150,28,0,0.0,0.0,True,True,0.0007820817628925088,0.0,0.5892363046814539,0.0,1.2273896240691178
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,163,28,0,0.0,0.0,True,True,0.0010643456243151729,0.0,0.5889830218559102,0.0,1.227352367121835
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,176,28,0,0.0,0.0,True,True,0.0009436763231385381,0.0,0.5892601970482011,0.0,1.2274120801258226
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,190,28,0,0.0,0.0,True,True,0.0013778302737704206,0.0,0.5889363528527516,0.0,1.2273569945860745
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,203,28,0,0.0,0.0,True,True,0.0008252106765483563,0.0,0.5890153528665368,0.0,1.2273843915298466
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,216,28,0,0.0,0.0,True,True,0.00017646422119329264,0.0,0.5892063161041157,0.0,1.2274187688632128
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,230,28,0,0.0,0.0,True,True,0.0004108560677433824,0.0,0.5891982874686801,0.0,1.227456337194103
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,243,28,0,0.0,0.0,True,True,0.0004768503161792645,0.0,0.5891525485115998,0.0,1.227432973294443
087f4978523b5cdd,2021.06.09.17.37.09_veh-12_00404_00864,stationary,us-nv-las-vegas-strip,256,28,0,0.0,0.0,True,True,0.0005653871711846686,0.0,0.5891729073125184,0.0,1.227420022432972
