task,variant,signal,scene_normalised,n_frames,n_scenes,eta_10,reduction_frac_10,tie_frac_10,eta_10_lo,eta_10_hi,eta_10_boot_dropped,eta_20,reduction_frac_20,tie_frac_20,eta_20_lo,eta_20_hi,eta_20_boot_dropped,eta_30,reduction_frac_30,tie_frac_30,eta_30_lo,eta_30_hi,eta_30_boot_dropped,eta_50,reduction_frac_50,tie_frac_50,eta_50_lo,eta_50_hi,eta_50_boot_dropped,spearman_vs_dJ,kendall_vs_dJ,inversion_rate_vs_dJ,top10_overlap_vs_dJ,top20_overlap_vs_dJ
lateral,oracle,perception_oracle_dE [scene-z],True,3376,85,0.1269981445894343,0.011161911374658075,0.014792899408284023,-0.011641501141360231,0.4364993135733623,0.0275,-0.03730713842144683,-0.003278937452578619,0.008888888888888889,-0.7111559993564139,0.4037937549309451,0.0275,0.05195575202483798,0.004566409228888851,0.007897334649555774,-0.9545934795791429,0.5040887647321495,0.0275,0.17484247994043536,0.015366966753173613,0.01066350710900474,-0.9600283703199701,0.6206852408355238,0.0275,-0.02517008827043525,-0.02057041537279296,0.567274914778424,0.10355029585798817,0.1985185185185185
lateral,oracle,best_dE_metric (E5_loc_heavy) [scene-z],True,3376,85,0.22753108717804238,0.01999778688319672,0.0029585798816568047,0.0,0.4215519392962898,0.0275,0.29207776503443184,0.02567081698998116,0.002962962962962963,-0.14696906142475083,0.5165111133514024,0.0275,0.36637549688987203,0.03220087064540699,0.0009871668311944718,-0.015303182620466035,0.7067462966117761,0.0275,0.4881841557653462,0.042906676304453724,0.0005924170616113745,0.06469905261925628,0.8218596728979428,0.0275,0.028456667112963845,0.023203450254292757,0.4210199004975124,0.10059171597633136,0.19555555555555557
lateral,oracle,multimetric_dE_oracle [scene-z],True,3376,85,0.20189893518653626,0.0177449680739465,0.0029585798816568047,-0.3504728292918604,0.6177300995479743,0.0275,0.02691820122929655,0.0023658501268499403,0.0014814814814814814,-0.9281949558269753,0.5178398646384746,0.0275,-0.1132402992588617,-0.00995272953359612,0.0009871668311944718,-1.0942985045547438,0.4230216459262974,0.0275,-0.1132402992588617,-0.00995272953359612,0.0005924170616113745,-1.1295743918470738,0.4185159424384813,0.0275,-0.004253315826882903,-0.0034691844257140974,0.5054722334819619,0.12130177514792899,0.1925925925925926
lateral,oracle,PKL_gain [scene-z],True,3376,85,0.19675370393465771,0.01729275189849564,0.0029585798816568047,-0.42645838069313813,0.6574406904455093,0.0275,0.0760891863526633,0.0066875052181583515,0.02074074074074074,-0.878608420516017,0.589310019571724,0.0275,0.02445184406755259,0.0021490811327308746,0.003948667324777887,-0.8733585852677467,0.5265899874347802,0.0275,-0.041939024584734114,-0.0036860355485331554,0.0005924170616113745,-1.0526728990762317,0.47064044220581447,0.0275,-0.016086149867303275,-0.013155179894992843,0.5384930384930385,0.13313609467455623,0.1748148148148148
lateral,oracle,TIP_gain [scene-z],True,3376,85,0.02445184406755259,0.0021490811327308746,0.0029585798816568047,-0.8941233428177111,0.5064945711582812,0.0275,0.017075080883963548,0.001500734834812506,0.0014814814814814814,-0.9763987523610497,0.5064945711582812,0.0275,-0.04931578776832106,-0.0043343818464513404,0.01678183613030602,-1.0943495482928318,0.4629511237355925,0.0275,-0.06406931413549495,-0.00563107444228771,0.0005924170616113745,-1.1220594059134852,0.4636091922058146,0.0275,-0.02306861114503472,-0.01886073236220034,0.5568251377269945,0.1242603550295858,0.17925925925925926
plannerC_path_dev,oracle,random,False,3376,85,0.05476593754341753,0.006816420441480038,,-0.01240999320659737,0.11540781700020965,0.0,0.09906389433676457,0.014296144740073574,,-0.00178773461101728,0.17494262022534932,0.0,0.13383582240817232,0.019722581745574556,,0.02460036928874629,0.2237745353225242,0.0,0.2119002569473173,0.031226468850812882,,0.06166239602804653,0.3319937699814851,0.0,,,,,
plannerC_path_dev,oracle,uncertainty,False,3376,85,0.006078046109780875,0.0007565015702346582,0.0029585798816568047,-0.09481480365089298,0.0745878254167769,0.0,-0.023739285515707764,-0.003425872403166161,0.0014814814814814814,-0.14183306972389725,0.12736234606618652,0.0,0.045972394350266156,0.006774675787829651,0.0009871668311944718,-0.1118082872246136,0.19431520633677624,0.0,0.1382150361612629,0.020367920188396418,0.0005924170616113745,-0.04775291899454713,0.3016878037640125,0.0,-0.023426733074596078,-0.01788222013841309,0.5099111821323721,0.16272189349112426,0.29333333333333333
plannerC_path_dev,oracle,criticality,False,3376,85,0.14805325402123448,0.01842738885530642,0.0029585798816568047,0.04883873358675096,0.24629415992175194,0.0,0.2095515080883262,0.03024087343010517,0.0014814814814814814,0.07055816992491935,0.3438672035030474,0.0,0.24437858454924308,0.036012605025438564,0.0009871668311944718,0.0698780622155471,0.4025610972323138,0.0,0.2718407071385648,0.040059533179121094,0.0005924170616113745,0.06304085520441972,0.4468269380658915,0.0,0.05480520945956749,0.040266410827487324,0.47662578106919695,0.20118343195266272,0.3022222222222222
plannerC_path_dev,oracle,perception_oracle_dE,False,3376,85,0.20936204385429324,0.026058162781693706,0.03550295857988166,0.11661186936500283,0.2999372399312672,0.0,0.28453943574724855,0.04106255851272225,0.5170370370370371,0.170907734100116,0.40510107133705914,0.0,0.32262348547992264,0.04754308637947611,0.3168805528134255,0.1941899934188344,0.4600750194404315,0.0,0.40292683392136047,0.05937690878652476,0.09774881516587677,0.23423381738717114,0.5630847617880582,0.0,0.12996827347351358,0.10821800196497068,0.4292586332769949,0.17751479289940827,0.3377777777777778
plannerC_path_dev,oracle,best_dE_metric (E6_risk_weighted),False,3376,85,0.4073301221308475,0.05069818020958885,0.0029585798816568047,0.2868291634839018,0.5659215373959565,0.0,0.40457809331736766,0.058385620911145214,0.0014814814814814814,0.25154154675311996,0.548079913819238,0.0,0.3844652813156055,0.056656340601821814,0.0009871668311944718,0.20991905739083086,0.5394107031020532,0.0,0.41287982407059215,0.060843621198037795,0.1362559241706161,0.23713565169035195,0.5765197720371059,0.0,0.16770510326275861,0.13627036825774275,0.41461357482132555,0.30177514792899407,0.3985185185185185
