quota,policy,mode,total_risk,risk_sd,risk_all_cheap,risk_all_full,risk_oracle,risk_reduction,eta,frac_of_full_gain,n_selected,std_err_total,mean_latency_ms,extra_compute_ms,risk_per_extra_ms,risk_per_1000_extra_ms,total_frames,std_err_captured
0.1,learned_unc_crit,pooled,575.1687968547086,0.0,703.3057591408106,441.00440110880066,484.77206128237077,128.13696228610195,0.586348757842855,0.4885104798827034,250,5531.0,7.32,1300.0,0.09856689406623227,98.56689406623227,2500.0,0.18917835671342687
0.1,learned_all_visual,pooled,633.4327386452742,0.0,703.3057591408106,441.00440110880066,484.77206128237077,69.87302049553637,0.3197356800359376,0.2663845167244976,250,5547.0,7.32,1300.0,0.053748477304258746,53.74847730425875,2500.0,0.18276553106212426
0.1,learned_all,pooled,571.0673222227181,0.0,703.3057591408106,441.00440110880066,484.77206128237077,132.23843691809248,0.6051169142973682,0.5041469777749102,250,5521.0,7.32,1300.0,0.10172187455237883,101.72187455237882,2500.0,0.19318637274549097
0.1,oracle,pooled,484.77206128237077,0.0,703.3057591408106,441.00440110880066,484.77206128237077,218.53369785843978,1.0,0.8331397881354891,250,5373.0,7.32,1300.0,0.16810284450649213,168.10284450649212,2500.0,0.25250501002004005
0.2,random,pooled,649.6385653069824,7.814784976610324,703.3057591408106,441.00440110880066,386.08150370290923,53.66719383382815,0.16917746015273996,0.2046012808949273,500,5497.203125,7.84,2600.0,0.02064122839762621,20.64122839762621,2500.0,0.2027241983967936
0.2,lowest_confidence,pooled,635.895820434778,0.0,703.3057591408106,441.00440110880066,386.08150370290923,67.40993870603256,0.21249932043493594,0.2569942420877829,500,5422.0,7.84,2600.0,0.025926899502320216,25.926899502320218,2500.0,0.23286573146292586
0.2,lowest_min_confidence,pooled,666.9271220246528,0.0,703.3057591408106,441.00440110880066,386.08150370290923,36.37863711615773,0.11467798093162862,0.1386902354951524,500,5578.0,7.84,2600.0,0.013991783506214514,13.991783506214514,2500.0,0.17034068136272545
0.2,highest_uncertainty,pooled,678.8809423137299,0.0,703.3057591408106,441.00440110880066,386.08150370290923,24.42481682708069,0.07699542644796908,0.09311738608726537,500,5633.0,7.84,2600.0,0.009394160318107957,9.394160318107957,2500.0,0.14829659318637275
0.2,highest_entropy,pooled,665.968255302803,0.0,703.3057591408106,441.00440110880066,386.08150370290923,37.33750383800759,0.11770065875469175,0.14234582740304044,500,5637.0,7.84,2600.0,0.01436057839923369,14.36057839923369,2500.0,0.1466933867735471
0.2,scene_complexity,pooled,682.8782606537025,0.0,703.3057591408106,441.00440110880066,386.08150370290923,20.427498487108096,0.0643945036892266,0.0778779745570941,500,5636.0,7.84,2600.0,0.007856730187349267,7.856730187349267,2500.0,0.1470941883767535
0.2,criticality_heuristic,pooled,654.9060316097713,0.0,703.3057591408106,441.00440110880066,386.08150370290923,48.399727531039275,0.15257259399735223,0.18451954612119403,500,5603.0,7.84,2600.0,0.01861527981963049,18.61527981963049,2500.0,0.16032064128256512
0.2,riskweighted_uncertainty,pooled,649.4393825994046,0.0,703.3057591408106,441.00440110880066,386.08150370290923,53.866376541406,0.16980535257951196,0.20536064679784247,500,5564.0,7.84,2600.0,0.02071783713131,20.71783713131,2500.0,0.17595190380761522
0.2,learned_uncertainty,pooled,601.7619408520749,0.0,703.3057591408106,441.00440110880066,386.08150370290923,101.54381828873568,0.32010105327085725,0.38712654425656384,500,5222.0,7.84,2600.0,0.0390553147264368,39.0553147264368,2500.0,0.3130260521042084
0.2,learned_criticality,pooled,520.4350902870674,0.0,703.3057591408106,441.00440110880066,386.08150370290923,182.87066885374315,0.576471268255656,0.6971777432865085,500,5215.0,7.84,2600.0,0.07033487263605506,70.33487263605507,2500.0,0.3158316633266533
