cell,dataset,system,geometry,moderate_gap_kitti,scheme,split,t_cheap,t_full,n_frames,n_units,cheap_det_per_frame,cheap_precision,cheap_recall,full_det_per_frame,full_precision,full_recall,affected,harmed,harm_rate,harm_rate_lo,harm_rate_hi,rho,rho_lo,rho_hi,all_full_reduction,oracle20_reduction,exact_FN_sign_disagreement,exact_FN_n_both_nonzero,exact_FN_spearman,exact_FN_harmed_given_gain_pos,exact_FN_harmed_given_gain_pos_affected,FN_FP_sign_disagreement,FN_FP_n_both_nonzero,FN_FP_spearman,FN_FP_harmed_given_gain_pos,FN_FP_harmed_given_gain_pos_affected,E5_combined_sign_disagreement,E5_combined_n_both_nonzero,E5_combined_spearman,E5_combined_harmed_given_gain_pos,E5_combined_harmed_given_gain_pos_affected,E_risk_sign_disagreement,E_risk_n_both_nonzero,E_risk_spearman,E_risk_harmed_given_gain_pos,E_risk_harmed_given_gain_pos_affected,brake_vs_plan_both_nonzero,brake_vs_plan_opposite_sign
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S0,all,0.25,0.25,2655,85,2.609416195856874,0.6551674364896074,0.33239841291558353,4.2531073446327685,0.582624867162593,0.48310302366944863,1226,630,0.5138662316476346,0.47690732617480264,0.5507031646388862,0.8244363412400274,0.5848489256602102,1.1663643288336931,0.008130550048490889,0.04604736846552463,0.5174488567990373,831.0,-0.004120120609838318,0.3243464052287582,0.5149156939040207,0.4894894894894895,999.0,0.02088552653215534,0.3069657615112161,0.5029013539651838,0.485973597359736,1212.0,0.01853515789772265,0.26416739319965127,0.49917627677100496,0.5152777777777777,720.0,-0.004159896852951483,0.3343589743589744,0.5117739403453689,153.0,80.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S0,test,0.25,0.25,752,24,2.074468085106383,0.6685897435897435,0.31918554631488383,3.3856382978723403,0.6099764336213669,0.4794952681388013,308,154,0.5,0.42538072472256966,0.5842795347668449,0.9136945887155308,0.5558532547768653,1.614787581976226,0.0025815981096205414,0.029890718618935445,0.48514851485148514,202.0,0.026422057078440996,0.304635761589404,0.48677248677248675,0.5196850393700787,254.0,-0.03700558630303121,0.3232758620689655,0.5244755244755245,0.5132450331125827,302.0,-0.05787669415715166,0.2578616352201258,0.5125,0.5157232704402516,159.0,-0.016531360205123108,0.33962264150943394,0.5034965034965035,32.0,17.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S1,all,0.25,0.498046875,2655,85,2.609416195856874,0.6551674364896074,0.33239841291558353,2.6365348399246704,0.7651428571428571,0.39430838692023534,1064,548,0.5150375939849624,0.4814712219144352,0.5494418222034522,0.8891293539950829,0.6105993549653628,1.2945904733488598,0.004217535432629248,0.03804014484088234,0.5137614678899083,654.0,-0.004203524872541144,0.320659062103929,0.5195071868583162,0.5084554678692221,887.0,-0.009969538744278755,0.3087971274685817,0.5165165165165165,0.5114942528735632,1044.0,-0.015069666345798987,0.2559081701553005,0.518467852257182,0.5008025682182986,623.0,0.009777606820382954,0.32540861812778604,0.5081206496519721,120.0,58.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S1,test,0.25,0.498046875,752,24,2.074468085106383,0.6685897435897435,0.31918554631488383,2.1941489361702127,0.7672727272727272,0.3934614281617436,270,136,0.5037037037037037,0.4393888206388206,0.5654633122882661,1.3441450016368932,0.8689941420777674,2.169585592726328,-0.007075560556231481,0.020559823686461393,0.5408805031446541,159.0,-0.0405731210091082,0.3434343434343434,0.5396825396825397,0.5357142857142857,224.0,-0.06455763181539517,0.312280701754386,0.5235294117647059,0.5513307984790875,263.0,-0.08741868985119682,0.25773195876288657,0.5376344086021505,0.5220588235294118,136.0,-0.031619031585850256,0.3310344827586207,0.5,30.0,21.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S2,all,0.25,0.4,2655,85,2.609416195856874,0.6551674364896074,0.33239841291558353,3.143879472693032,0.7046843177189409,0.43364345327678205,1110,567,0.5108108108108108,0.4766264608268898,0.5432658161867131,0.8262955607740663,0.5821634427746536,1.2115230994405295,0.006893828756503883,0.03968495415348599,0.5206258890469416,703.0,-0.017172912221016415,0.32098765432098764,0.5165562913907285,0.5070883315158125,917.0,-0.010811589702703692,0.31711880261927033,0.5191424196018377,0.5013748854262144,1091.0,-0.0133526558324914,0.26222537207654145,0.5082417582417582,0.514820592823713,641.0,-0.006998299935199479,0.3266832917705736,0.5067698259187621,120.0,57.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S2,test,0.25,0.4,752,24,2.074468085106383,0.6685897435897435,0.31918554631488383,2.583776595744681,0.7143592382913021,0.43016919988528823,283,144,0.508833922261484,0.43748743297587134,0.5845588235294118,1.1372169373158225,0.6819400044613174,2.040758285314952,-0.003161029697363497,0.023036731173266024,0.5363128491620112,179.0,-0.03246162488060867,0.3333333333333333,0.5192307692307693,0.5267857142857143,224.0,-0.05469365025554363,0.31716417910447764,0.5214723926380368,0.5347985347985348,273.0,-0.07855773707661444,0.2608695652173913,0.5303867403314917,0.5342465753424658,146.0,-0.025711395327772817,0.3488372093023256,0.5042016806722689,26.0,17.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S3,all,0.25,0.34,2655,85,2.609416195856874,0.6551674364896074,0.33239841291558353,3.4990583804143127,0.6618945102260495,0.4528663291831988,1148,594,0.5174216027874564,0.4836180689938487,0.5521690311125648,0.8607564533354899,0.6129613022302097,1.2353981142104555,0.005773224090430832,0.04142833766773893,0.5207496653279786,747.0,-0.013038772730185675,0.32149532710280376,0.5157421289355323,0.503800217155266,921.0,-0.0014035832210967073,0.3186372745490982,0.5187601957585645,0.49157054125998223,1127.0,-0.002360943743702873,0.26666666666666666,0.5049645390070922,0.5248868778280543,663.0,-0.01731207045679247,0.3325608342989571,0.514336917562724,135.0,71.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S3,test,0.25,0.34,752,24,2.074468085106383,0.6685897435897435,0.31918554631488383,2.8404255319148937,0.6807116104868914,0.45110410094637227,292,146,0.5,0.4281329470465154,0.5796082136558326,0.9487916343342075,0.6167844413278148,1.5693128301891883,0.001458102073234143,0.028473903712341465,0.5053191489361702,188.0,0.002809656420527928,0.30036630036630035,0.4880952380952381,0.5152838427947598,229.0,-0.03547554091732114,0.30038022813688214,0.5096774193548387,0.5177304964539007,282.0,-0.05674780480301421,0.25280898876404495,0.5113636363636364,0.54421768707483,147.0,-0.02819016031085408,0.3333333333333333,0.504,29.0,18.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S4,all,0.25,0.4,2655,85,2.609416195856874,0.6551674364896074,0.33239841291558353,3.143879472693032,0.7046843177189409,0.43364345327678205,1110,567,0.5108108108108108,0.477330127350948,0.5440029411764706,0.8262955607740663,0.5813024004513577,1.186810006338621,0.006893828756503883,0.03968495415348599,0.5206258890469416,703.0,-0.017172912221016415,0.32098765432098764,0.5165562913907285,0.5070883315158125,917.0,-0.010811589702703692,0.31711880261927033,0.5191424196018377,0.5013748854262144,1091.0,-0.0133526558324914,0.26222537207654145,0.5082417582417582,0.514820592823713,641.0,-0.006998299935199479,0.3266832917705736,0.5067698259187621,127.0,63.0
nuScenes oracle Y8 320->640 q_plan,nuScenes,plan,oracle,False,S4,test,0.25,0.4,752,24,2.074468085106383,0.6685897435897435,0.31918554631488383,2.583776595744681,0.7143592382913021,0.43016919988528823,283,144,0.508833922261484,0.44106505672456814,0.582979154104574,1.1372169373158225,0.6785275262050544,2.0986899755056156,-0.003161029697363497,0.023036731173266024,0.5363128491620112,179.0,-0.03246162488060867,0.3333333333333333,0.5192307692307693,0.5267857142857143,224.0,-0.05469365025554363,0.31716417910447764,0.5214723926380368,0.5347985347985348,273.0,-0.07855773707661444,0.2608695652173913,0.5303867403314917,0.5342465753424658,146.0,-0.025711395327772817,0.3488372093023256,0.5042016806722689,26.0,17.0
