geometry,target,signal,deployable,quota,eta,n_escalated,boot_dropped,n_frames,lo,hi,minus_random,minus_random_lo,minus_random_hi,p_le_random,minus_unc_sum,minus_unc_sum_lo,minus_unc_sum_hi
mono,brake,random,True,0.3,0.13938463415862662,1013.0,0,3376,,,,,,,,,
mono,brake,unc_sum (eta-table uncertainty),True,0.3,0.20828809449745503,1013.0,0,3376,-0.026477123118682867,0.3737608371957468,0.059731093055393696,-0.13728338728417408,0.21888513228167764,0.2675,,,
mono,brake,feat_ent_mean (gate uncertainty),True,0.3,0.07709356601258331,1013.0,0,3376,-0.03689970469753049,0.2209992529123468,-0.053209090661282744,-0.16405242509795262,0.08888773628724483,0.79,-0.11294018371667644,-0.3515220115157046,0.13623211868300136
mono,brake,crit_sum (GT geometry),False,0.3,0.30839434368031743,1013.0,0,3376,0.09788007883416258,0.43914920595115203,0.1500086823614256,-0.005696503261601645,0.2916351603856924,0.035,0.0902775893060319,-0.07830825584922517,0.26818856051636714
mono,brake,dE_E6_risk_weighted (needs FULL),False,0.3,0.17251465390340867,1013.0,0,3376,-0.012251285969912986,0.39796010172429597,0.05124685031369097,-0.13354359283403855,0.2424001029592734,0.345,-0.00848424274170274,-0.3185963858652845,0.32117341405662947
mono,brake,linear (OOF by scene),True,0.3,0.4268703962360899,1013.0,0,3376,0.22999594895600048,0.5600415572023012,0.27210585124351666,0.1143341595706636,0.4302327624958414,0.0,0.212374758188123,0.08344223655151456,0.38127752268052095
mono,brake,linear (OOF by scene) [escalate only pred>0],True,0.3,0.4268703962360899,1013.0,0,3376,0.22999594895600048,0.5600415572023012,0.27210585124351666,0.1143341595706636,0.4302327624958414,0.0,0.212374758188123,0.08344223655151456,0.38127752268052095
mono,brake,gbm (OOF by scene),True,0.3,0.4884250246975927,1013.0,0,3376,0.3045394885442999,0.6227759353606296,0.34223631931958065,0.1859850069655185,0.48375399550011305,0.0,0.28250522626418695,0.12735642958150153,0.4497265136979677
mono,brake,gbm (OOF by scene) [escalate only pred>0],True,0.3,0.4884250246975927,1013.0,0,3376,0.3045394885442999,0.6227759353606296,0.34223631931958065,0.1859850069655185,0.48375399550011305,0.0,0.28250522626418695,0.12735642958150153,0.4497265136979677
mono,plan,random,True,0.1,0.03253519399039721,266.0,0,2655,,,,,,,,,
mono,plan,unc_sum (eta-table uncertainty),True,0.1,0.02602270350145413,266.0,0,2655,-0.07299263902107474,0.10420606430912352,-0.0048799053302103716,-0.09233361132712586,0.0867806818026678,0.555,,,
mono,plan,feat_ent_mean (gate uncertainty),True,0.1,0.11232171572040424,266.0,0,2655,0.009188600169390436,0.22027664416565218,0.08060100588807638,-0.010408027276309724,0.17820403301954393,0.0475,0.08548091121828677,-0.06121428721587875,0.22367542622734077
mono,plan,crit_sum (GT geometry),False,0.1,0.0671960328671586,266.0,0,2655,-0.032168520755288546,0.19525462735005217,0.04291422199150258,-0.06190935220935966,0.17726241672216658,0.225,0.04779412732171295,-0.0760164474083738,0.16648623152489078
mono,plan,dE_E6_risk_weighted (needs FULL),False,0.1,0.12263820717534339,266.0,0,2655,0.0038035283296502273,0.24752773293629934,0.09126301110107438,-0.029381743152653093,0.21867488911106167,0.07,0.09614291643128475,-0.06305562475949177,0.2613552486770081
mono,plan,linear (OOF by scene),True,0.1,-0.023542966930996643,266.0,0,2655,-0.07421826888014213,0.027844226802343143,-0.04840191830909532,-0.09899642777191335,0.00711226857592551,0.9525,-0.04352201297888495,-0.13895019662745917,0.05585357978354513
mono,plan,linear (OOF by scene) [escalate only pred>0],True,0.1,-0.023542966930996643,266.0,0,2655,-0.07421826888014213,0.027844226802343143,-0.04840191830909532,-0.09899642777191335,0.00711226857592551,0.9525,-0.04352201297888495,-0.13895019662745917,0.05585357978354513
mono,plan,gbm (OOF by scene),True,0.1,-0.0402507353309687,266.0,0,2655,-0.1151339651214246,0.017600071713858564,-0.0767185254646381,-0.13188325260623773,-0.01710654064336879,0.9925,-0.07183862013442774,-0.17152623552918314,0.029158035132770738
mono,plan,gbm (OOF by scene) [escalate only pred>0],True,0.1,-0.0402507353309687,266.0,0,2655,-0.1151339651214246,0.017600071713858564,-0.0767185254646381,-0.13188325260623773,-0.01710654064336879,0.9925,-0.07183862013442774,-0.17152623552918314,0.029158035132770738
mono,plan,random,True,0.2,0.05708008071846706,531.0,0,2655,,,,,,,,,
mono,plan,unc_sum (eta-table uncertainty),True,0.2,0.08933033888175212,531.0,0,2655,-0.045565983822384006,0.16739023420950586,0.01430318769412162,-0.0943264340517066,0.12102141332752561,0.405,,,
mono,plan,feat_ent_mean (gate uncertainty),True,0.2,0.12721531977378822,531.0,0,2655,-0.023082310210684083,0.25026304508887964,0.0630644546846234,-0.04505447529451537,0.19115369894036258,0.1975,0.04876126699050179,-0.13911002299823247,0.22349437079561418
mono,plan,crit_sum (GT geometry),False,0.2,0.10527922885841963,531.0,0,2655,-0.016614473099011765,0.22457467458415178,0.05065457859635877,-0.05098615276558872,0.17277733851690846,0.1975,0.03635139090223714,-0.07302452406452295,0.16057130684034662
mono,plan,dE_E6_risk_weighted (needs FULL),False,0.2,0.21774405099737182,531.0,0,2655,0.02776059224407083,0.3853585304110265,0.15185041632181637,0.0027980459473219204,0.303053822731455,0.0225,0.13754722862769475,-0.08931929530391729,0.36107373646860436
mono,plan,linear (OOF by scene),True,0.2,0.03979340995996746,531.0,0,2655,-0.0767160941436154,0.1295933222256951,-0.020011634984591745,-0.11321942992600828,0.06758489150007042,0.65,-0.034314822678713365,-0.18536281332634338,0.08567287487373496
mono,plan,linear (OOF by scene) [escalate only pred>0],True,0.2,0.03979340995996746,531.0,0,2655,-0.0767160941436154,0.1295933222256951,-0.020011634984591745,-0.11321942992600828,0.06758489150007042,0.65,-0.034314822678713365,-0.18536281332634338,0.08567287487373496
mono,plan,gbm (OOF by scene),True,0.2,0.017828808659290356,531.0,0,2655,-0.10502740054408194,0.10762943223752888,-0.05068009669833545,-0.140784477700185,0.04289465010230386,0.8325,-0.06498328439245707,-0.20312734175088834,0.06681068010064063
mono,plan,gbm (OOF by scene) [escalate only pred>0],True,0.2,0.017828808659290356,531.0,0,2655,-0.10502740054408194,0.10762943223752888,-0.05068009669833545,-0.140784477700185,0.04289465010230386,0.8325,-0.06498328439245707,-0.20312734175088834,0.06681068010064063
mono,plan,random,True,0.3,0.08331064104409937,796.0,0,2655,,,,,,,,,
mono,plan,unc_sum (eta-table uncertainty),True,0.3,0.09057009005907066,796.0,0,2655,-0.0625036413505192,0.1925971042703664,-0.006982039223949109,-0.11666313981665001,0.10965777235933837,0.5525,,,
mono,plan,feat_ent_mean (gate uncertainty),True,0.3,0.1910651954647077,796.0,0,2655,0.058292778844515614,0.32352323583721676,0.11433445484442842,-0.0014422766261011444,0.23427634733925287,0.0325,0.12131649406837754,-0.06342788738065845,0.2938355899550116
mono,plan,crit_sum (GT geometry),False,0.3,0.1498935115135729,796.0,0,2655,0.006084757176259253,0.2782289544996412,0.06274591009140983,-0.07078689825978919,0.19168220872929032,0.1925,0.06972794931535894,-0.043812713916454187,0.20932888018904625
mono,plan,dE_E6_risk_weighted (needs FULL),False,0.3,0.18221107936774933,796.0,0,2655,-0.012309986453643593,0.3664188573503477,0.089665444075661,-0.057122277810401335,0.24727607793752682,0.135,0.0966474832996101,-0.12242212503747417,0.33724669641557814
mono,plan,linear (OOF by scene),True,0.3,0.07303857675106303,796.0,0,2655,-0.060461175416210114,0.16941264334274375,-0.008609544800234358,-0.10417353166128568,0.0837825560302131,0.575,-0.0016275055762852474,-0.15509509852757575,0.12517043388736845
mono,plan,linear (OOF by scene) [escalate only pred>0],True,0.3,0.07303857675106303,796.0,0,2655,-0.060461175416210114,0.16941264334274375,-0.008609544800234358,-0.10417353166128568,0.0837825560302131,0.575,-0.0016275055762852474,-0.15509509852757575,0.12517043388736845
mono,plan,gbm (OOF by scene),True,0.3,0.0635251054271819,796.0,0,2655,-0.07911773903749371,0.21329115284600728,-0.02231794670778775,-0.13176494835729632,0.11327128837873233,0.66,-0.015335907483838639,-0.18379210446566907,0.15123177985028352
mono,plan,gbm (OOF by scene) [escalate only pred>0],True,0.3,0.0635251054271819,796.0,0,2655,-0.07911773903749371,0.21329115284600728,-0.02231794670778775,-0.13176494835729632,0.11327128837873233,0.66,-0.015335907483838639,-0.18379210446566907,0.15123177985028352
