cell,t_cheap,t_full,affected,harm_rate,rho
KITTI mono Y8 384->640 q_brake,0.15,0.15,2891,0.4510549982704946,0.7790762304180485
KITTI mono Y8 384->640 q_brake,0.15,0.25,2742,0.40919037199124725,0.7080819515906093
KITTI mono Y8 384->640 q_brake,0.15,0.35,2611,0.38146304098046724,0.683038509609659
KITTI mono Y8 384->640 q_brake,0.15,0.45,2529,0.343218663503361,0.6726426788286877
KITTI mono Y8 384->640 q_brake,0.15,0.55,2519,0.31599841206828105,0.7594918990201133
KITTI mono Y8 384->640 q_brake,0.25,0.15,2869,0.48727779714186126,0.6257677319545568
KITTI mono Y8 384->640 q_brake,0.25,0.25,2646,0.4459561602418745,0.5512850317471811
KITTI mono Y8 384->640 q_brake,0.25,0.35,2469,0.41919805589307413,0.5130808522751205
KITTI mono Y8 384->640 q_brake,0.25,0.45,2303,0.37646547980894485,0.4806855010040285
KITTI mono Y8 384->640 q_brake,0.25,0.55,2182,0.34326306141154905,0.524168767784804
KITTI mono Y8 384->640 q_brake,0.35,0.15,2917,0.5022283167637984,0.4851599192765735
KITTI mono Y8 384->640 q_brake,0.35,0.25,2653,0.46324915190350546,0.41364706355605574
KITTI mono Y8 384->640 q_brake,0.35,0.35,2453,0.43334692213615983,0.3705937082243537
KITTI mono Y8 384->640 q_brake,0.35,0.45,2237,0.3915958873491283,0.329013607543053
KITTI mono Y8 384->640 q_brake,0.35,0.55,2058,0.35714285714285715,0.33550947572540185
KITTI mono Y8 384->640 q_brake,0.45,0.15,3043,0.49490634242523823,0.34354125756692894
KITTI mono Y8 384->640 q_brake,0.45,0.25,2767,0.45789663895916155,0.28638702708000174
KITTI mono Y8 384->640 q_brake,0.45,0.35,2543,0.42784113252064493,0.2464479987290324
KITTI mono Y8 384->640 q_brake,0.45,0.45,2296,0.3871951219512195,0.20803590379839268
KITTI mono Y8 384->640 q_brake,0.45,0.55,2059,0.348712967459932,0.19109048490044006
KITTI mono Y8 384->640 q_brake,0.55,0.15,3246,0.4808995686999384,0.2332952972335812
