cell,g_variant,arch,constant,n_distinct_test,tie_frac_20,eta20_recomputed,eta20_in_122,matches_122
nuScenes|oracle|plan_fde|JC_fde,V (official),gate_ridge,False,752,0.006666666666666667,,,
nuScenes|oracle|plan_fde|JC_fde,V (official),gate_gbm,False,744,0.006666666666666667,,,
nuScenes|oracle|plan_fde|JC_fde,V (official),R1_mlp_reg,False,653,0.006666666666666667,,,
nuScenes|oracle|plan_fde|JC_fde,V (official),R1_mlp_clf,False,598,0.006666666666666667,,,
nuScenes|oracle|plan_fde|JC_fde,V (official),R1_gbm_reg,False,577,0.006666666666666667,,,
nuScenes|oracle|plan_fde|JC_fde,V (official),R1_gbm_clf,False,640,0.006666666666666667,,,
nuScenes|mono|brake|J,primary,gate_ridge,False,955,0.005235602094240838,0.08872515817486314,0.0887251581748631,True
nuScenes|mono|brake|J,primary,gate_gbm,False,929,0.005235602094240838,0.1282279525288482,0.1282279525288482,True
nuScenes|mono|brake|J,primary,R1_mlp_reg,False,812,0.005235602094240838,0.18136760213503886,0.1813676021350388,True
nuScenes|mono|brake|J,primary,R1_mlp_clf,False,805,0.005235602094240838,0.36235329148187456,0.3623532914818745,True
nuScenes|mono|brake|J,primary,R1_gbm_reg,False,756,0.005235602094240838,0.24027578516708487,0.2402757851670848,True
nuScenes|mono|brake|J,primary,R1_gbm_clf,False,775,0.005235602094240838,-0.06664483160840161,-0.0666448316084016,True
nuScenes|mono|brake|J,dE_exact,gate_ridge,False,955,0.005235602094240838,-0.049373245066943836,-0.0493732450669438,True
nuScenes|mono|brake|J,dE_exact,gate_gbm,False,939,0.005235602094240838,-0.08188649516688849,-0.0818864951668884,True
nuScenes|mono|brake|J,dE_exact,R1_mlp_reg,False,812,0.005235602094240838,0.05522443126820531,0.0552244312682053,True
nuScenes|mono|brake|J,dE_exact,R1_mlp_clf,False,780,0.005235602094240838,0.18731763061161485,0.1873176306116148,True
nuScenes|mono|brake|J,dE_exact,R1_gbm_reg,False,742,0.005235602094240838,-0.05075350707456382,-0.0507535070745638,True
nuScenes|mono|brake|J,dE_exact,R1_gbm_clf,False,777,0.005235602094240838,0.17752426442575975,0.1775242644257597,True
nuScenes|mono|brake|J,dE_E6_risk_weighted,gate_ridge,False,955,0.005235602094240838,0.15161825941644425,0.1516182594164442,True
nuScenes|mono|brake|J,dE_E6_risk_weighted,gate_gbm,False,940,0.005235602094240838,0.157979717509242,0.157979717509242,True
nuScenes|mono|brake|J,dE_E6_risk_weighted,R1_mlp_reg,False,812,0.005235602094240838,0.23659340606433693,0.2365934060643369,True
nuScenes|mono|brake|J,dE_E6_risk_weighted,R1_mlp_clf,False,783,0.005235602094240838,0.15463512311868527,0.1546351231186852,True
nuScenes|mono|brake|J,dE_E6_risk_weighted,R1_gbm_reg,False,698,0.005235602094240838,0.20834184750846552,0.2083418475084655,True
nuScenes|mono|brake|J,dE_E6_risk_weighted,R1_gbm_clf,False,767,0.005235602094240838,0.029211463737901493,0.0292114637379014,True
nuScenes|mono|brake|J,V (official),gate_ridge,False,955,0.005235602094240838,,,
nuScenes|mono|brake|J,V (official),gate_gbm,False,696,0.005235602094240838,,,
nuScenes|mono|brake|J,V (official),R1_mlp_reg,False,812,0.005235602094240838,,,
nuScenes|mono|brake|J,V (official),R1_mlp_clf,False,800,0.005235602094240838,,,
nuScenes|mono|brake|J,V (official),R1_gbm_reg,False,318,0.06806282722513089,,,
nuScenes|mono|brake|J,V (official),R1_gbm_clf,False,784,0.005235602094240838,,,
nuScenes|mono|plan_ade|JC_ade,primary,gate_ridge,False,752,0.006666666666666667,-0.0007590352813155267,-0.0007590352813155,True
nuScenes|mono|plan_ade|JC_ade,primary,gate_gbm,False,745,0.006666666666666667,0.09230980504600658,0.0923098050460065,True
nuScenes|mono|plan_ade|JC_ade,primary,R1_mlp_reg,False,653,0.006666666666666667,0.04578853833748278,0.0457885383374827,True
nuScenes|mono|plan_ade|JC_ade,primary,R1_mlp_clf,False,646,0.006666666666666667,0.038955903438537956,0.0389559034385379,True
nuScenes|mono|plan_ade|JC_ade,primary,R1_gbm_reg,False,613,0.006666666666666667,0.05884954463129359,0.0588495446312935,True
nuScenes|mono|plan_ade|JC_ade,primary,R1_gbm_clf,False,631,0.006666666666666667,0.14349362343740735,0.1434936234374073,True
nuScenes|mono|plan_ade|JC_ade,dE_exact,gate_ridge,False,752,0.006666666666666667,0.09470947360998411,0.0947094736099841,True
nuScenes|mono|plan_ade|JC_ade,dE_exact,gate_gbm,False,743,0.006666666666666667,0.09278734649361818,0.0927873464936181,True
nuScenes|mono|plan_ade|JC_ade,dE_exact,R1_mlp_reg,False,653,0.006666666666666667,0.1421968503217241,0.1421968503217241,True
nuScenes|mono|plan_ade|JC_ade,dE_exact,R1_mlp_clf,False,616,0.006666666666666667,0.0427629314494294,0.0427629314494294,True
nuScenes|mono|plan_ade|JC_ade,dE_exact,R1_gbm_reg,False,608,0.006666666666666667,0.047178829187291854,0.0471788291872918,True
nuScenes|mono|plan_ade|JC_ade,dE_exact,R1_gbm_clf,False,632,0.006666666666666667,0.2534813270344903,0.2534813270344903,True
nuScenes|mono|plan_ade|JC_ade,dE_E6_risk_weighted,gate_ridge,False,752,0.006666666666666667,0.12638345784495353,0.1263834578449535,True
nuScenes|mono|plan_ade|JC_ade,dE_E6_risk_weighted,gate_gbm,False,745,0.006666666666666667,0.13236032077147677,0.1323603207714767,True
nuScenes|mono|plan_ade|JC_ade,dE_E6_risk_weighted,R1_mlp_reg,False,653,0.006666666666666667,0.20319808871880313,0.2031980887188031,True
nuScenes|mono|plan_ade|JC_ade,dE_E6_risk_weighted,R1_mlp_clf,False,640,0.006666666666666667,-0.0010120072491120924,-0.001012007249112,True
nuScenes|mono|plan_ade|JC_ade,dE_E6_risk_weighted,R1_gbm_reg,False,586,0.006666666666666667,0.2678921784187912,0.2678921784187912,True
nuScenes|mono|plan_ade|JC_ade,dE_E6_risk_weighted,R1_gbm_clf,False,623,0.006666666666666667,0.17546101002354578,0.1754610100235457,True
nuScenes|mono|plan_ade|JC_ade,V (official),gate_ridge,False,752,0.006666666666666667,,,
nuScenes|mono|plan_ade|JC_ade,V (official),gate_gbm,False,737,0.006666666666666667,,,
nuScenes|mono|plan_ade|JC_ade,V (official),R1_mlp_reg,False,653,0.006666666666666667,,,
nuScenes|mono|plan_ade|JC_ade,V (official),R1_mlp_clf,False,634,0.006666666666666667,,,
nuScenes|mono|plan_ade|JC_ade,V (official),R1_gbm_reg,False,632,0.006666666666666667,,,
nuScenes|mono|plan_ade|JC_ade,V (official),R1_gbm_clf,False,625,0.006666666666666667,,,
nuScenes|mono|plan_fde|JC_fde,primary,gate_ridge,False,752,0.006666666666666667,-0.09899929700027162,-0.0989992970002716,True
nuScenes|mono|plan_fde|JC_fde,primary,gate_gbm,False,745,0.006666666666666667,-0.026234450831047723,-0.0262344508310477,True
nuScenes|mono|plan_fde|JC_fde,primary,R1_mlp_reg,False,653,0.006666666666666667,0.0014444216748279223,0.0014444216748279,True
nuScenes|mono|plan_fde|JC_fde,primary,R1_mlp_clf,False,646,0.006666666666666667,-0.0314495902744492,-0.0314495902744492,True
nuScenes|mono|plan_fde|JC_fde,primary,R1_gbm_reg,False,613,0.006666666666666667,0.0698030649964874,0.0698030649964874,True
