arm,model,target,task,n,spearman,r2,pearson,per_seq_median,per_seq_iqr,per_seq_n,per_seq_pos,auc,ap,base_rate
B_uncertainty,linear,value_visual,reg,8008,0.389990671088047,0.14989710304935955,0.40698263230998505,0.3243342902443547,0.2704769140975255,21,20,,,
B_uncertainty,tree,value_visual,reg,8008,0.34107320817066833,0.13630505132562898,0.3776193079289246,0.3366866748273702,0.18579898146963952,21,19,,,
B_uncertainty,gbm,value_visual,reg,8008,0.36851920442576047,0.12121947174202019,0.36937661872199756,0.24284975886322802,0.23540292892305203,21,20,,,
C_complexity,linear,value_visual,reg,8008,0.08296969665123138,-0.031239593577758296,0.12437021508562315,0.04825979245742242,0.416420621321952,21,13,,,
C_complexity,tree,value_visual,reg,8008,-0.01775188750072676,-0.055603433058753815,0.09292150437015549,-0.08661500835909348,0.329950302482345,21,9,,,
C_complexity,gbm,value_visual,reg,8008,0.0838634895193996,-0.03616997431453162,0.14180498002479436,-0.010873826643862924,0.27332074457014227,21,10,,,
D_criticality,linear,value_visual,reg,8008,0.19965197287516034,0.026229331092947672,0.21308339384579617,0.1047993150452932,0.2944237951662027,21,11,,,
D_criticality,tree,value_visual,reg,8008,0.13652230884946825,-0.0035490178313486442,0.1607141719379182,0.16869920380328274,0.14913637677476632,21,16,,,
D_criticality,gbm,value_visual,reg,8008,0.22979297076252167,0.00010875844665336754,0.19985609311613445,0.18533690660825225,0.39123495997318164,21,14,,,
E_unc_crit,linear,value_visual,reg,8008,0.3759507219593475,0.14471296787118892,0.39504601237800446,0.2679228740919176,0.30538097569029427,21,19,,,
E_unc_crit,tree,value_visual,reg,8008,0.3488263644337649,0.13660307627813983,0.37346188667354224,0.28063298659861136,0.18944544351989492,21,20,,,
E_unc_crit,gbm,value_visual,reg,8008,0.35837730534586504,0.12363634918832289,0.3668136821970965,0.2937583025553155,0.29799713925556076,21,19,,,
F_all_visual,linear,value_visual,reg,8008,0.3416807053159406,0.11935720870357591,0.3842711981668212,0.25435876348121844,0.21998679617423597,21,19,,,
F_all_visual,tree,value_visual,reg,8008,0.3246708910928435,0.1226594396922488,0.35588418406336947,0.3176333794046092,0.18539439977004807,21,19,,,
F_all_visual,gbm,value_visual,reg,8008,0.30730856395956513,0.11023598078826113,0.35341326608708623,0.2910686591695847,0.1272901458286165,21,19,,,
G_all,linear,value_visual,reg,8008,0.32805190904162823,0.10633411373422319,0.36481329918097877,0.26358572486939186,0.2060776358286644,21,19,,,
G_all,tree,value_visual,reg,8008,0.323756965248025,0.1206065396431536,0.3535047577312377,0.27229416499414155,0.18944544351989492,21,19,,,
G_all,gbm,value_visual,reg,8008,0.27745952900999693,0.07905757197607566,0.3198183720068399,0.2690240744089057,0.21556897410788195,21,18,,,
H_visual_plus_stakes,linear,value_visual,reg,8008,0.336448387582451,0.11263256603395533,0.37867047291070466,0.2573423529217364,0.16520595740836666,21,19,,,
H_visual_plus_stakes,tree,value_visual,reg,8008,0.3196870295577793,0.123764764588146,0.3573107872655562,0.3176333794046092,0.18539439977004807,21,19,,,
H_visual_plus_stakes,gbm,value_visual,reg,8008,0.29982643817361265,0.1054114552517803,0.34580238673366104,0.28905103578233055,0.15866493833897075,21,19,,,
