track,geometry,system,target,signal,budget_level,budget_per_frame,n_frames,feasible,overhead,overhead_source,escalated_frac,eta,eta_lo,eta_hi,minus_random,minus_random_lo,minus_random_hi,note,row_type,n_cells
nuScenes,oracle,plan_ade,JC_ade,criticality_cheap,0.1,14.645041501353262,752.0,True,1.4709314999947765,measured,0.0239878276646448,0.0268760262965234,-0.0142104543686593,0.1008110007233539,0.0304861089866761,-0.0490148607960398,0.1258249300813748,,cell,
nuScenes,oracle,plan_ade,JC_ade,gate_gbm_batched,0.1,14.645041501353262,752.0,True,3.5357949274881264,measured,0.0,0.0,0.0,0.0,-0.0067345439537952,-0.0558515405797947,0.060147949726744,,cell,
nuScenes,oracle,plan_ade,JC_ade,R1_mlp_reg,0.1,14.645041501353262,752.0,True,0.6491920000541995,measured,0.0664522146768704,0.0230830480619364,-0.0314727999057557,0.1334873737930736,0.03781792392967,-0.0341735661398225,0.1460731694661275,,cell,
nuScenes,oracle,plan_ade,JC_ade,R1_mlp_clf,0.1,14.645041501353262,752.0,True,0.6491920000541995,measured,0.0664522146768704,-0.0235380651193773,-0.1204878489036042,0.060662232610671,-0.0289845179737848,-0.1274344555349723,0.0725697711775946,,cell,
nuScenes,oracle,plan_ade,JC_ade,R1_gbm_reg,0.1,14.645041501353262,752.0,True,15.909292499998172,measured,0.0,0.0,0.0,0.0,-0.0067345439537952,-0.0558515405797947,0.060147949726744,,cell,
nuScenes,oracle,plan_ade,JC_ade,R1_gbm_clf,0.1,14.645041501353262,752.0,True,15.909292499998172,measured,0.0,0.0,0.0,0.0,-0.0067345439537952,-0.0558515405797947,0.060147949726744,,cell,
nuScenes,oracle,plan_ade,JC_ade,R2_cnn_clf,0.1,14.645041501353262,752.0,True,9.765887999975575,measured,0.0,0.0,0.0,0.0,-0.0067345439537952,-0.0558515405797947,0.060147949726744,,cell,
nuScenes,oracle,plan_ade,JC_ade,criticality_gt,0.1,14.645041501353262,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_ade,JC_ade,dE_exact,0.1,14.645041501353262,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_ade,JC_ade,dE_E6_risk_weighted,0.1,14.645041501353262,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_ade,JC_ade,PKL,0.1,14.645041501353262,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_ade,JC_ade,TIP,0.1,14.645041501353262,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_ade,JC_ade,random,0.2,16.5801677512718,752.0,True,0.0,none,0.2,0.0172276363778706,-0.1089660966309397,0.0908889041284135,0.0,0.0,0.0,,cell,
nuScenes,oracle,plan_ade,JC_ade,oracle,0.2,16.5801677512718,752.0,True,0.0,none,0.2,1.0,1.0,1.0,0.9897184157795555,0.9091110958715864,1.1089660966309396,,cell,
nuScenes,oracle,plan_ade,JC_ade,gate_ridge,0.2,16.5801677512718,752.0,True,3.925717499981829,measured,0.0,0.0,0.0,0.0,-0.0102815842204444,-0.0908889041284135,0.1089660966309397,,cell,
nuScenes,oracle,plan_ade,JC_ade,gate_gbm,0.2,16.5801677512718,752.0,True,21.37658250001095,measured,0.0,0.0,0.0,0.0,-0.0102815842204444,-0.0908889041284135,0.1089660966309397,,cell,
nuScenes,oracle,plan_ade,JC_ade,uncertainty,0.2,16.5801677512718,752.0,True,0.2944104999755836,measured,0.1847859797267503,0.0622236902463493,-0.3176278208950057,0.2025840290401929,-0.0024629425007989,-0.2550375135876917,0.2006016290217786,,cell,
