planner,loss,split,variant,logs,states_failed,states,affected,v_pos,v_neg,harm_rate,rho,all_full_reduction,oracle20_reduction,selective_extra_share,all_cheap_cost,all_full_cost,harm_rate_lo,harm_rate_hi,harm_rate_finite_draws,rho_lo,rho_hi,rho_finite_draws,all_full_reduction_lo,all_full_reduction_hi,all_full_reduction_finite_draws,oracle20_reduction_lo,oracle20_reduction_hi,oracle20_reduction_finite_draws
pdm_closed,collision,all,primary,34,0,1440,24,18,6,0.25,0.3333333333333333,0.11538461538461539,0.17307692307692307,0.33333333333333326,104.0,92.0,0.0,0.5,1000,0.0,1.0,999,0.0,0.2857632093933463,1000,0.027768264840182647,0.42006338028169005,1000
pdm_closed,clearance_shortfall,all,primary,34,0,1440,45,25,20,0.4444444444444444,0.3380283440598492,0.05224382151908361,0.07892153848322307,0.33802834405984794,260.36073098007523,246.75849142017404,0.2646671826625387,0.6924999999999998,1000,0.09685261065681851,0.6021581290939092,1000,0.007119358382628638,0.130510771907612,1000,0.013161843587651136,0.19766663310289384,1000
pdm_closed,log_deviation,all,primary,34,0,1440,104,65,39,0.375,0.5534462261235562,0.018966087973087024,0.04247212560414915,0.5534462261235589,3489.0501254162536,3422.8764937950987,0.2727272727272727,0.468542471042471,1000,0.22251855957137195,0.6413936309667114,1000,0.006210119240279751,0.03706328079406123,1000,0.010093090948813287,0.09537099122468337,1000
pdm_closed,safety,all,primary,34,0,1440,45,25,20,0.4444444444444444,0.3340197419539051,0.09814702960040761,0.14737228080657988,0.3340197419539052,1430.5410964701127,1290.137737130261,0.2646671826625387,0.6924999999999998,1000,0.020105436183825195,0.9349040395722212,1000,0.0021809204046140413,0.2331460753027436,1000,0.0234932780290634,0.341150871128392,1000
pdm_closed,scalar_J,all,primary,34,0,1440,104,65,39,0.375,0.34825960199882955,0.08262162127720686,0.12677075340212154,0.3482596019988301,1779.446109011738,1632.4253865097708,0.2727272727272727,0.468542471042471,1000,0.07480927922021213,0.8896809001195333,1000,0.0032688306973109875,0.1913046527759112,1000,0.021986508663839822,0.28599989519460545,1000
pdm_closed,collision,test,primary,9,0,384,19,14,5,0.2631578947368421,0.35714285714285715,0.2727272727272727,0.42424242424242425,0.3571428571428572,33.0,24.0,0.0,0.5,1000,0.3076923076923077,1.0,906,0.0,0.46203580901856767,996,0.0,0.6673850574712643,996
pdm_closed,clearance_shortfall,test,primary,9,0,384,27,18,9,0.3333333333333333,0.38567669948324695,0.1713163366313804,0.2788699964453141,0.3856766994832474,57.73825326051798,47.846747228431184,0.0,0.5,1000,0.0,1.0,981,0.0,0.3564005623399962,1000,0.008661991166068143,0.5524895491975119,1000
pdm_closed,log_deviation,test,primary,9,0,384,48,28,20,0.4166666666666667,0.6270005486609456,0.04675885664767936,0.1253590494029328,0.6270005486609455,737.6503267427848,703.1586408585051,0.34285714285714286,0.6153846153846154,1000,0.1221442705607562,0.6664296901006551,995,0.006508021589426373,0.0948493437604989,1000,0.007789691196189661,0.28239502011188905,1000
pdm_closed,safety,test,primary,9,0,384,27,18,9,0.3333333333333333,0.3613411259459256,0.2516452278776618,0.39402134394574373,0.36134112594592577,416.60737989077694,311.77012084264675,0.0,0.5,1000,0.0,1.0,981,0.0,0.43693292760463165,1000,0.005236640710858697,0.6369001847879421,1000
pdm_closed,scalar_J,test,primary,9,0,384,48,28,20,0.4166666666666667,0.37550832769921744,0.22082487689331887,0.35360740052744855,0.3755083276992177,490.3724125650554,382.0859849284973,0.34285714285714286,0.6153846153846154,1000,0.25260849615712544,0.9714552121247719,995,0.0015357325763119753,0.3953405790689056,1000,0.009598360046067738,0.591709516335054,1000
