section,track,geometry,system,target,split,n_inputs,n_affected,n_harmed,harmed_over_affected,harmed_over_all_inputs,signal,quota,ndg_recomputed,ndg_released,matches_3dp,trivial,n_test_frames,n_test_units,all_cheap_loss,gain,gain_random,delta_vs_random,delta_share_all_cheap,ndg,oracle_prize,undefined_reason,delta_lo_all_draws,delta_hi_all_draws,delta_share_lo_all_draws,delta_share_hi_all_draws,delta_lo_filtered,delta_hi_filtered,draws_dropped_by_filter,beats_random_all_draws,beats_random_filtered,available,ndg_full,ndg_min_leave_one_out,ndg_max_leave_one_out,gain_full,gain_min_leave_one_out,gain_max_leave_one_out,most_influential_unit,ndg_without_that_unit,gain_without_that_unit,ndg_change_without_that_unit
sanity,nuScenes,oracle,brake,J,,,,,,,dE_exact,0.5,0.478727292379026,0.478727292379026,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E1_fn_only,0.1,0.0247816855009227,0.0247816855009227,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E1_fn_only,0.2,0.14519911919558093,0.1451991191955809,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E1_fn_only,0.3,0.32646312970357166,0.3264631297035716,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E1_fn_only,0.5,0.478727292379026,0.478727292379026,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E2_fn_fp,0.1,0.062033195724128305,0.0620331957241283,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E2_fn_fp,0.2,0.05852517129227791,0.0585251712922779,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E2_fn_fp,0.3,0.05787452081973848,0.0578745208197384,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E2_fn_fp,0.5,0.28195838652354654,0.2819583865235465,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E3_class_aware,0.1,0.21341433684519542,0.2134143368451954,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E3_class_aware,0.2,0.35976431923305163,0.3597643192330516,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E3_class_aware,0.3,0.44362883826574495,0.4436288382657449,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E3_class_aware,0.5,0.45376202282151,0.45376202282151,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E4_localization,0.1,0.004848989822500079,0.0048489898225,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E4_localization,0.2,0.12795413056667443,0.1279541305666744,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E4_localization,0.3,0.4449922599126632,0.4449922599126632,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E4_localization,0.5,0.47439389660613823,0.4743938966061382,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_combined,0.1,0.05403881293767391,0.0540388129376739,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_combined,0.2,-0.0015728098279675093,-0.0015728098279675,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_combined,0.3,0.3114738066122904,0.3114738066122904,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_combined,0.5,0.3097902533456603,0.3097902533456603,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_fp_heavy,0.1,0.06292146928195223,0.0629214692819522,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_fp_heavy,0.2,0.11314143774674802,0.113141437746748,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_fp_heavy,0.3,0.11390503835503117,0.1139050383550311,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_fp_heavy,0.5,0.19831423537542267,0.1983142353754226,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_loc_heavy,0.1,-0.06883702000717222,-0.0688370200071722,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_loc_heavy,0.2,0.19719463498806572,0.1971946349880657,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_loc_heavy,0.3,0.21159442612219362,0.2115944261221936,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E5_loc_heavy,0.5,0.29426322703495505,0.294263227034955,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E6_risk_weighted,0.1,0.6602715996903047,0.6602715996903047,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E6_risk_weighted,0.2,0.6722671878964611,0.6722671878964611,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E6_risk_weighted,0.3,0.49885669170869656,0.4988566917086965,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,dE_E6_risk_weighted,0.5,0.49234959980524323,0.4923495998052432,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,gate_ridge,0.1,0.18434522848536988,0.1843452284853698,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,gate_ridge,0.2,0.20217108660263017,0.2021710866026301,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,gate_ridge,0.3,0.3999724803037559,0.3999724803037559,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,gate_ridge,0.5,0.4100223396696762,0.4100223396696762,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,gate_gbm,0.1,-0.016077832659208834,-0.0160778326592088,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,gate_gbm,0.2,-0.06013962803689725,-0.0601396280368972,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,gate_gbm,0.3,-0.12899006001208407,-0.128990060012084,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,gate_gbm,0.5,0.15381395145955346,0.1538139514595534,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_mlp_reg,0.1,-0.023534545355087585,-0.0235345453550875,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_mlp_reg,0.2,0.18580179832831845,0.1858017983283184,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_mlp_reg,0.3,0.2946226536628813,0.2946226536628813,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_mlp_reg,0.5,0.515715759019793,0.515715759019793,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_mlp_clf,0.1,0.035594444764764865,0.0355944447647648,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_mlp_clf,0.2,0.13072451855751852,0.1307245185575185,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_mlp_clf,0.3,0.14854762702148058,0.1485476270214805,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_mlp_clf,0.5,0.14594872384861474,0.1459487238486147,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_gbm_reg,0.1,0.047955067979664354,0.0479550679796643,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_gbm_reg,0.2,0.31722929948753875,0.3172292994875387,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_gbm_reg,0.3,0.54025151318763,0.54025151318763,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_gbm_reg,0.5,0.5012937390788932,0.5012937390788932,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_gbm_clf,0.1,-0.05455175025484875,-0.0545517502548487,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_gbm_clf,0.2,0.35483437329742334,0.3548343732974233,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_gbm_clf,0.3,0.4279501311472544,0.4279501311472544,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R1_gbm_clf,0.5,0.32187824828300354,0.3218782482830035,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R2_cnn_clf,0.1,-0.1227021251745514,-0.1227021251745514,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R2_cnn_clf,0.2,-0.12431530564856962,-0.1243153056485696,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R2_cnn_clf,0.3,-0.2337987020310561,-0.2337987020310561,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,R2_cnn_clf,0.5,-0.19933921644494024,-0.1993392164449402,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,oracle,0.1,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,oracle,0.2,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,oracle,0.3,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,brake,J,,,,,,,oracle,0.5,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,uncertainty,0.1,0.0024718687881882806,0.0024718687881882,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,uncertainty,0.2,-0.006067512093610036,-0.00606751209361,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,uncertainty,0.3,-0.04048560863793809,-0.040485608637938,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,uncertainty,0.5,0.04591007005818086,0.0459100700581808,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanity,nuScenes,oracle,plan_ade,JC_ade,,,,,,,criticality_cheap,0.1,-0.016006471732509655,-0.0160064717325096,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
