scenario,log,iteration,planner,n_tracks,n_tracks_reference,collision_reference,min_clearance_reference,log_deviation_mean_reference,log_deviation_final_reference,ok_reference,n_tracks_cheap,collision_cheap,min_clearance_cheap,log_deviation_mean_cheap,log_deviation_final_cheap,ok_cheap,n_tracks_full,collision_full,min_clearance_full,log_deviation_mean_full,log_deviation_final_full,ok_full
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,136,idm,152,152,0.0,1.0105955689447057,1.9885636329545715,7.031399841382199,1,129,0.0,1.0105955689447057,1.9885636329545715,7.031399841382199,1,140,0.0,1.0105955689447057,1.9885636329545715,7.031399841382199,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,149,idm,163,163,0.0,1.0058393120908797,3.106452374849444,9.065370618193986,1,141,0.0,1.0058393120908797,3.106452374849444,9.065370618193986,1,152,0.0,1.0058393120908797,3.106452374849444,9.065370618193986,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,163,idm,178,178,0.0,1.0203112691749405,4.399751838529537,10.527634759671493,1,159,0.0,1.0203112691749405,4.399751838529537,10.527634759671493,1,169,0.0,1.0203112691749405,4.399751838529537,10.527634759671493,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,176,idm,190,190,0.0,1.0715295370050901,4.334464424132749,10.66070434180361,1,167,0.0,1.0715295370050901,4.334464424132749,10.66070434180361,1,179,0.0,1.0715295370050901,4.334464424132749,10.66070434180361,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,189,idm,202,202,0.0,1.089773516934763,3.8668804153718517,10.439980026034018,1,185,0.0,1.089773516934763,3.8668804153718517,10.439980026034018,1,194,0.0,1.089773516934763,3.8668804153718517,10.439980026034018,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,202,idm,213,213,0.0,1.136066414092264,3.6050299234927268,10.26819599465007,1,202,0.0,1.136066414092264,3.6050299234927268,10.26819599465007,1,206,0.0,1.136066414092264,3.6050299234927268,10.26819599465007,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,216,idm,222,222,0.0,1.0800971590614674,3.6015416021681066,10.398438021879773,1,207,0.0,1.0800971590614674,3.6015416021681066,10.398438021879773,1,213,0.0,1.0800971590614674,3.6015416021681066,10.398438021879773,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,229,idm,237,237,0.0,1.0440467551743937,3.789177787952127,10.502149853086298,1,221,0.0,1.0440467551743937,3.789177787952127,10.502149853086298,1,226,0.0,1.0440467551743937,3.789177787952127,10.502149853086298,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,242,idm,274,274,0.0,1.0719024781814401,3.7929662241790663,10.607925370269854,1,262,0.0,1.0719024781814401,3.7929662241790663,10.607925370269854,1,267,0.0,1.0719024781814401,3.7929662241790663,10.607925370269854,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,255,idm,295,295,0.0,1.090525687527732,1.6035001267550248,2.9743904300568222,1,285,0.0,1.090525687527732,1.6035001267550248,2.9743904300568222,1,287,0.0,1.090525687527732,1.6035001267550248,2.9743904300568222,1
00009841879a5bb9,2021.06.09.12.39.51_veh-26_05620_06003,269,idm,298,298,0.0,1.2041728226324884,1.679114112459283,1.322206611470768,1,287,0.0,1.2041728226324884,1.9354397395084266,2.937646356703758,1,293,0.0,1.2041728226324884,1.9354397395084266,2.937646356703758,1
