group,track,geometry,trained_for,evaluated_on,diagonal,signal,quota,coverage,n_test_frames,n_test_units,gain,gain_random,delta_vs_random,gain_share_all_cheap,ndg,official_ndg,matches_3dp,undefined_reason,ndg_diag,transfer_regret,delta_lo_all_draws,delta_hi_all_draws,beats_random_all_draws,delta_lo_filtered,beats_random_filtered,draws_dropped_by_filter,delta_share_lo_all_draws,n_entries,median_transfer_regret,off_diag_beating_random_all_draws,off_diag_beating_random_filtered,diag_beating_random_all_draws,n_diag_entries
KITTI mono,KITTI,mono,brake/J,traj/JB,False,R1_mlp_reg,0.3,1.0,3536.0,6.0,185.62993939986723,115.68788809713757,69.94205130272965,0.07883945429796363,0.3205640867182395,,,,0.11144478492381966,0.20911930179441984,-40.21770684845288,171.9396790212964,False,-40.21770684845288,False,29.0,-0.01708098419521311,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,R1_mlp_reg,0.5,1.0,3536.0,6.0,298.8864828203368,192.77680127779382,106.109681542543,0.1269409841902361,0.5161466555852174,,,,0.3032637122385547,0.21288294334666275,-31.738193467578235,264.1763281760834,False,-31.738193467578235,False,29.0,-0.013479624361655378,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,R1_mlp_clf,0.1,1.0,3536.0,6.0,85.33377039870904,38.598974916481346,46.73479548222769,0.036242364314572166,0.1473627705882108,,,,0.25265451433459307,-0.10529174374638228,-30.315909121517073,69.06601189603325,False,-30.315909121517073,False,29.0,-0.01287556166539789,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,R1_mlp_clf,0.2,1.0,3536.0,6.0,23.34658758639021,77.08891318065625,-53.742325594266035,0.009915599988780326,0.04031718995230098,,,,0.3367546667377614,-0.2964374767854604,-178.71468917807567,92.61914664544095,False,-207.15132358192096,False,29.0,-0.07590245741274938,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,R1_mlp_clf,0.3,1.0,3536.0,6.0,66.07637671129129,115.68788809713757,-49.611511385846285,0.028063498262977958,0.11410720394880759,,,,0.21687372775379407,-0.10276652380498648,-240.66270381769596,108.57489715892342,False,-241.52681705534405,False,29.0,-0.10221258650517648,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,R1_mlp_clf,0.5,1.0,3536.0,6.0,122.55976934580562,192.77680127779382,-70.2170319319882,0.05205273117766539,0.2116482969059482,,,,0.38321395117528306,-0.17156565426933487,-245.50391070739437,108.45704014574625,False,-260.459172800945,False,29.0,-0.10426871015937424,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,R1_gbm_reg,0.1,1.0,3536.0,6.0,74.03156646927931,38.598974916481346,35.432591552797966,0.031442171021177294,0.12784501018676808,,,,0.1480079765890262,-0.02016296640225812,-16.520810253041855,180.38789735672543,False,-16.520810253041855,False,29.0,-0.007016603405253031,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,R1_gbm_reg,0.2,1.0,3536.0,6.0,147.80125717726514,77.08891318065625,70.7123439966089,0.06277311999390169,0.2552377874819881,,,,0.2826693245661487,-0.027431537084160573,-25.691796902186674,197.9589835603949,False,-26.114466817890534,False,29.0,-0.010911640946772612,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,R1_gbm_reg,0.3,1.0,3536.0,6.0,196.23934678990915,115.68788809713757,80.55145869277158,0.0833454078729088,0.33888545772986506,,,,0.41707396676802355,-0.0781885090381585,-25.027666214931223,198.81678445991713,False,-25.027666214931223,False,29.0,-0.010629575989282308,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,R1_gbm_reg,0.5,1.0,3536.0,6.0,302.72434507967046,192.77680127779382,109.94754380187663,0.12857097430484168,0.5227742546357323,,,,0.47425291587655444,0.04852133875917791,-32.506693749641805,241.78570177149993,False,-28.842812638715806,False,29.0,-0.013806016446152102,,,,,,
