task,variant,signal,quota,eta,eta_lo,eta_hi,reduction_frac
lateral,mono,perception_oracle_dE,0.3,-0.228569355166725,-1.0019152250070509,0.10057644580113359,-0.018846217675093323
lateral,mono,perception_oracle_dE,0.5,-0.4820886205236944,-1.829829073177201,0.1275130336903669,-0.039749629054374985
lateral,mono,best_dE_metric (E5_loc_heavy),0.1,0.03269058437317906,-0.5238851690497353,0.35315417253276354,0.0026954351276597876
lateral,mono,best_dE_metric (E5_loc_heavy),0.2,0.02318629488308758,-0.7808165330392094,0.43381531125257583,0.0019117784189697248
lateral,mono,best_dE_metric (E5_loc_heavy),0.3,0.015943597219404977,-0.8753043293499397,0.43957314639522826,0.0013145966286764153
lateral,mono,best_dE_metric (E5_loc_heavy),0.5,-0.09831820419127066,-1.1037665048825096,0.384322523782697,-0.0081066260009413
lateral,mono,multimetric_dE_oracle,0.1,0.039744041257049466,-0.3060041907307998,0.24191291206867452,0.0032770134573459507
lateral,mono,multimetric_dE_oracle,0.2,0.11148218034956033,-0.30198581477706493,0.38751755773196145,0.00919203467249266
lateral,mono,multimetric_dE_oracle,0.3,-0.013571284541904639,-0.6269809470290035,0.31007235607608935,-0.0011189924494506274
lateral,mono,multimetric_dE_oracle,0.5,0.014941583928375203,-0.6740508870826518,0.3483126668787367,0.0012319776766200072
lateral,mono,PKL_gain,0.1,0.023746170140830296,-0.5006665325292243,0.38310703299391796,0.0019579417857544875
lateral,mono,PKL_gain,0.2,-0.028389377376504436,-0.6666805820423545,0.35515018149960687,-0.002340787921056629
lateral,mono,PKL_gain,0.3,-0.17095371972790768,-1.07119418885518,0.2895617370337589,-0.014095638551410135
lateral,mono,PKL_gain,0.5,-0.2620813264742409,-1.2430218608367403,0.16676760390558365,-0.021609378578803445
lateral,mono,TIP_gain,0.1,0.018994025395783883,-0.5468826377377055,0.3991347343235277,0.0015661134314094004
lateral,mono,TIP_gain,0.2,0.00948973590569105,-0.5584015005706443,0.37445986691421956,0.0007824567227192261
lateral,mono,TIP_gain,0.3,-0.03700538380709641,-0.7421967263724759,0.3195617661818428,-0.003051203070814987
lateral,mono,TIP_gain,0.5,-0.1016673231703611,-0.8397261899896311,0.28028698401448887,-0.00838277074157674
lateral,mono,decision_oracle_dJ,0.1,1.0,1.0,1.0,0.08245295027124855
lateral,mono,decision_oracle_dJ,0.2,1.0,1.0,1.0,0.08245295027124855
lateral,mono,decision_oracle_dJ,0.3,1.0,1.0,1.0,0.08245295027124855
lateral,mono,decision_oracle_dJ,0.5,1.0,1.0,1.0,0.08245295027124855
lateral,mono,uncertainty [scene-z],0.1,0.07762315453924225,-0.27241945050422084,0.2640600903394746,0.006400258101121583
lateral,mono,uncertainty [scene-z],0.2,0.02121535542886886,-0.5595839470292623,0.40964596628399963,0.0017492686461633871
lateral,mono,uncertainty [scene-z],0.3,0.10139994572544496,-0.6943519104738023,0.5163080942967992,0.008360724682407415
lateral,mono,uncertainty [scene-z],0.5,0.10257683044298707,-0.7990783739041737,0.573117415523175,0.008457762299497908
lateral,mono,criticality [scene-z],0.1,-0.17562976350613546,-0.7324689367980417,0.14160328342528328,-0.014481192156522531
lateral,mono,criticality [scene-z],0.2,0.014593785302177068,-0.7521339369733885,0.3917493105224982,0.0012033006537896837
lateral,mono,criticality [scene-z],0.3,-0.030936693805733818,-1.2431608680101827,0.39945397930854704,-0.0025508216759210136
