track,geometry,system,target,section,objective,signal,tier,n_units,n_frames,n_affected,available,quota,k,coverage,gain,prize,eta,ndg_defined,undefined_reason,pool,n_methods,kendall_tau,kendall_p,argmax_dec,argmax_perc,argmax_differs,eta_dec_of_dec,eta_dec_of_perc,regret_ndg,perc_winner_worse_than_random,cheap_loss_total,e_dec_defined,n_affected_dec,regret_gain,regret_gain_lo,regret_gain_hi,regret_share_cheap,regret_share_lo,regret_share_hi,n_draws,n_draws_kept_under_official_filter,eta_official,abs_diff,matches_to_3dp
nuScenes,oracle,brake,J,score,E_dec,R1_gbm_clf,2.0,24.0,955.0,62.0,True,0.3,286.0,1.0,21.606540089062797,50.488453014699864,0.4279501311472544,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R1_gbm_clf,2.0,24.0,955.0,62.0,True,0.5,478.0,1.0,16.25113481489032,50.488453014699864,0.32187824828300354,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R2_cnn_clf,2.0,24.0,955.0,62.0,True,0.1,96.0,1.0,-6.195040481679159,50.488453014699864,-0.1227021251745514,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R2_cnn_clf,2.0,24.0,955.0,62.0,True,0.2,191.0,1.0,-6.276487468245859,50.488453014699864,-0.12431530564856962,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R2_cnn_clf,2.0,24.0,955.0,62.0,True,0.3,286.0,1.0,-11.80413478239279,50.488453014699864,-0.2337987020310561,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,R2_cnn_clf,2.0,24.0,955.0,62.0,True,0.5,478.0,1.0,-10.064328663467451,50.488453014699864,-0.19933921644494024,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,dE_exact,3.0,24.0,955.0,62.0,True,0.1,96.0,1.0,1.2511889640384046,50.488453014699864,0.0247816855009227,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,dE_exact,3.0,24.0,955.0,62.0,True,0.2,191.0,1.0,7.3308789072818925,50.488453014699864,0.14519911919558093,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,dE_exact,3.0,24.0,955.0,62.0,True,0.3,286.0,1.0,16.482618385070644,50.488453014699864,0.32646312970357166,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,dE_exact,3.0,24.0,955.0,62.0,True,0.5,478.0,1.0,24.17020040813294,50.488453014699864,0.478727292379026,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,dE_E1_fn_only,3.0,24.0,955.0,62.0,True,0.1,96.0,1.0,1.2511889640384046,50.488453014699864,0.0247816855009227,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,dE_E1_fn_only,3.0,24.0,955.0,62.0,True,0.2,191.0,1.0,7.3308789072818925,50.488453014699864,0.14519911919558093,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,dE_E1_fn_only,3.0,24.0,955.0,62.0,True,0.3,286.0,1.0,16.482618385070644,50.488453014699864,0.32646312970357166,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,dE_E1_fn_only,3.0,24.0,955.0,62.0,True,0.5,478.0,1.0,24.17020040813294,50.488453014699864,0.478727292379026,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,dE_E6_risk_weighted,3.0,24.0,955.0,62.0,True,0.1,96.0,1.0,33.336091637904666,50.488453014699864,0.6602715996903047,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,dE_E6_risk_weighted,3.0,24.0,955.0,62.0,True,0.2,191.0,1.0,33.94173032943488,50.488453014699864,0.6722671878964611,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,dE_E6_risk_weighted,3.0,24.0,955.0,62.0,True,0.3,286.0,1.0,25.18650264040314,50.488453014699864,0.49885669170869656,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,dE_E6_risk_weighted,3.0,24.0,955.0,62.0,True,0.5,478.0,1.0,24.857969636573305,50.488453014699864,0.49234959980524323,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,PKL,3.0,24.0,955.0,62.0,True,0.1,96.0,1.0,11.79228603273345,50.488453014699864,0.23356401966406243,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,PKL,3.0,24.0,955.0,62.0,True,0.2,191.0,1.0,7.031047539630688,50.488453014699864,0.13926050650796484,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,PKL,3.0,24.0,955.0,62.0,True,0.3,286.0,1.0,9.895724170986746,50.488453014699864,0.1959997500439472,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_dec,PKL,3.0,24.0,955.0,62.0,True,0.5,478.0,1.0,10.972619790939117,50.488453014699864,0.21732929285324717,True,,,,,,,,,,,,,,,,,,,,,,,,,,
